protocol,date,op_value
clipper,2023-11-01,33758.54279
clipper,2023-11-02,34139.46488
clipper,2023-11-03,33309.58373
clipper,2023-11-04,34195.97723
clipper,2023-11-05,32987.89706
clipper,2023-11-06,31406.6473
clipper,2023-11-07,30748.70916
clipper,2023-11-08,32106.29827
clipper,2023-11-09,31266.76744
clipper,2023-11-10,29494.66044
clipper,2023-11-11,30116.03897
clipper,2023-11-12,29651.98486
clipper,2023-11-13,27439.58306
clipper,2023-11-14,27530.46602
clipper,2023-11-15,25999.48507
clipper,2023-11-16,26094.11246
clipper,2023-11-17,26388.55132
clipper,2023-11-18,28246.30772
clipper,2023-11-19,28102.69176
clipper,2023-11-20,27758.67254
clipper,2023-11-21,27960.41548
clipper,2023-11-22,29492.39035
clipper,2023-11-23,28439.94579
clipper,2023-11-24,27060.32311
clipper,2023-11-25,27089.15055
clipper,2023-11-26,26797.79183
clipper,2023-11-27,25889.29591
clipper,2023-11-28,27398.20801
clipper,2023-11-29,27738.27861
clipper,2023-11-30,28929.6256
clipper,2023-12-01,28319.10959
clipper,2023-12-02,27718.63732
clipper,2023-12-03,26297.43404
clipper,2023-12-04,26560.14972
clipper,2023-12-05,25147.19622
clipper,2023-12-06,25988.54366
clipper,2023-12-07,25358.88242
clipper,2023-12-08,22801.78734
clipper,2023-12-09,21672.45139
clipper,2023-12-10,21693.30278
clipper,2023-12-11,20459.31963
clipper,2023-12-12,20086.19926
clipper,2023-12-13,18795.29221
clipper,2023-12-14,18633.54088
clipper,2023-12-15,19835.75876
clipper,2023-12-16,21347.40807
clipper,2023-12-17,21021.02085
clipper,2023-12-18,20669.80288
clipper,2023-12-19,20573.9037
clipper,2023-12-20,20455.51385
clipper,2023-12-21,20095.20359
clipper,2023-12-22,17057.5895
clipper,2023-12-23,13826.76502
clipper,2023-12-24,13836.96697
clipper,2023-12-25,13598.04211
clipper,2023-12-26,12779.0942
clipper,2023-12-27,13726.45007
clipper,2023-12-28,11815.92023
clipper,2023-12-29,13126.84217
