protocol,date,op_value
compound-v3,2024-04-23,25956.71212
compound-v3,2024-04-24,25796.3159
compound-v3,2024-04-25,26847.79213
compound-v3,2024-04-26,27616.07215
compound-v3,2024-04-27,24835.70698
compound-v3,2024-04-28,228963.25002
compound-v3,2024-04-29,229462.44576
compound-v3,2024-04-30,230865.03833
compound-v3,2024-05-01,230587.25981
compound-v3,2024-05-02,233681.0712
compound-v3,2024-05-03,236183.56519
compound-v3,2024-05-04,238466.70906
compound-v3,2024-05-05,336214.94696
compound-v3,2024-05-06,336278.95193
compound-v3,2024-05-07,336215.39357
compound-v3,2024-05-08,336284.23097
compound-v3,2024-05-09,337117.22374
compound-v3,2024-05-10,334816.12394
compound-v3,2024-05-11,334567.31812
compound-v3,2024-05-12,334408.96372
compound-v3,2024-05-13,335408.96379
compound-v3,2024-05-14,386399.33723
compound-v3,2024-05-15,386923.98177
compound-v3,2024-05-16,388211.79104
compound-v3,2024-05-17,400904.99793
compound-v3,2024-05-18,401880.54765
compound-v3,2024-05-19,413184.23378
compound-v3,2024-05-20,413244.89518
compound-v3,2024-05-21,413508.21657
compound-v3,2024-05-22,414938.69202
compound-v3,2024-05-23,415614.09963
compound-v3,2024-05-24,424658.00721
compound-v3,2024-05-25,421162.38573
compound-v3,2024-05-26,421739.37573
compound-v3,2024-05-27,422702.37575
compound-v3,2024-05-28,427097.86263
compound-v3,2024-05-29,427193.78515
compound-v3,2024-05-30,430547.62548
compound-v3,2024-05-31,432750.88136
compound-v3,2024-06-01,433303.99211
compound-v3,2024-06-02,429743.25096
compound-v3,2024-06-03,429810.82139
compound-v3,2024-06-04,429889.19527
compound-v3,2024-06-05,422613.33333
compound-v3,2024-06-06,434223.5851
compound-v3,2024-06-07,233337.60209
compound-v3,2024-06-08,233426.05251
compound-v3,2024-06-09,246666.11876
compound-v3,2024-06-10,250105.88616
compound-v3,2024-06-11,251752.0563
compound-v3,2024-06-12,251146.11081
compound-v3,2024-06-13,251627.47463
compound-v3,2024-06-14,251712.61257
compound-v3,2024-06-15,253318.61895
compound-v3,2024-06-16,251611.52781
compound-v3,2024-06-17,262035.20704
compound-v3,2024-06-18,262514.39593
compound-v3,2024-06-19,253030.09723
compound-v3,2024-06-20,251353.6615
compound-v3,2024-06-21,252051.11308
compound-v3,2024-06-22,252938.57722
compound-v3,2024-06-23,260629.20309
compound-v3,2024-06-24,258655.57863
compound-v3,2024-06-25,261854.33676
compound-v3,2024-06-26,268227.07732
compound-v3,2024-06-27,315976.3541
compound-v3,2024-06-28,313216.02228
compound-v3,2024-06-29,314067.82762
compound-v3,2024-06-30,315522.624
compound-v3,2024-07-01,315536.01288
compound-v3,2024-07-02,332202.33656
compound-v3,2024-07-03,339493.00752
compound-v3,2024-07-04,340830.66766
compound-v3,2024-07-05,339136.22389
compound-v3,2024-07-06,334116.63105
compound-v3,2024-07-07,335825.00891
compound-v3,2024-07-08,340828.2618
compound-v3,2024-07-09,341435.84965
compound-v3,2024-07-10,341414.8727
compound-v3,2024-07-11,352069.86784
compound-v3,2024-07-12,350232.88035
compound-v3,2024-07-13,349932.7105
compound-v3,2024-07-14,350537.47503
compound-v3,2024-07-15,455430.9279
compound-v3,2024-07-16,402041.05957
compound-v3,2024-07-17,403683.78487
compound-v3,2024-07-18,488537.78134
compound-v3,2024-07-19,498661.50141
compound-v3,2024-07-20,498477.03861
compound-v3,2024-07-21,507595.54517
compound-v3,2024-07-22,500989.84094
compound-v3,2024-07-23,502982.81134
compound-v3,2024-07-24,507341.47949
compound-v3,2024-07-25,505027.71477
compound-v3,2024-07-26,511503.2142
compound-v3,2024-07-27,519725.26299
compound-v3,2024-07-28,519711.30683
compound-v3,2024-07-29,520089.97027
compound-v3,2024-07-30,515559.313
compound-v3,2024-07-31,374253.28794
compound-v3,2024-08-01,369792.23488
compound-v3,2024-08-02,371216.02289
compound-v3,2024-08-03,363851.10634
compound-v3,2024-08-04,368164.08245
compound-v3,2024-08-05,369693.96292
compound-v3,2024-08-06,342516.32373
compound-v3,2024-08-07,348997.96129
compound-v3,2024-08-08,344680.03455
compound-v3,2024-08-09,383879.73963
compound-v3,2024-08-10,373150.05382
compound-v3,2024-08-11,372751.39306
compound-v3,2024-08-12,322820.91313
compound-v3,2024-08-13,323138.37925
compound-v3,2024-08-14,323539.76826
compound-v3,2024-08-15,332377.91649
compound-v3,2024-08-16,335715.79284
compound-v3,2024-08-17,337578.73279
compound-v3,2024-08-18,338049.48091
compound-v3,2024-08-19,339171.10795
compound-v3,2024-08-20,338005.15186
compound-v3,2024-08-21,342650.94793
compound-v3,2024-08-22,344481.15508
compound-v3,2024-08-23,344643.93594
compound-v3,2024-08-24,343738.74742
compound-v3,2024-08-25,324696.30129
compound-v3,2024-08-26,324431.30425
compound-v3,2024-08-27,321509.52628
compound-v3,2024-08-28,317506.40183
compound-v3,2024-08-29,318714.26061
compound-v3,2024-08-30,319615.98377
compound-v3,2024-08-31,319723.40196
compound-v3,2024-09-01,319742.1103
compound-v3,2024-09-02,319749.27994
compound-v3,2024-09-03,305236.85062
compound-v3,2024-09-04,306262.97841
compound-v3,2024-09-05,306534.05123
compound-v3,2024-09-06,308477.25334
compound-v3,2024-09-07,372091.26797
compound-v3,2024-09-08,372158.65532
compound-v3,2024-09-09,372229.14458
compound-v3,2024-09-10,380677.84709
compound-v3,2024-09-11,381984.7418
compound-v3,2024-09-12,392379.73766
compound-v3,2024-09-13,391975.05766
compound-v3,2024-09-14,397337.14963
compound-v3,2024-09-15,398638.42998
compound-v3,2024-09-16,395854.38324
compound-v3,2024-09-17,399581.64746
compound-v3,2024-09-18,401434.45826
compound-v3,2024-09-19,401044.22103
compound-v3,2024-09-20,400842.97372
compound-v3,2024-09-21,399112.60169
compound-v3,2024-09-22,399228.21013
compound-v3,2024-09-23,394956.97295
compound-v3,2024-09-24,395035.97295
compound-v3,2024-09-25,394923.97295
compound-v3,2024-09-26,394177.42035
compound-v3,2024-09-27,407312.87737
compound-v3,2024-09-28,415743.67002
compound-v3,2024-09-29,415789.76324
compound-v3,2024-09-30,417191.74984
compound-v3,2024-10-01,417461.69437
compound-v3,2024-10-02,428601.22779
compound-v3,2024-10-03,428394.51603
compound-v3,2024-10-04,445415.92399
compound-v3,2024-10-05,445861.56629
compound-v3,2024-10-06,446150.19023
compound-v3,2024-10-07,449290.67444
compound-v3,2024-10-08,440308.51121
compound-v3,2024-10-09,447929.26785
compound-v3,2024-10-10,451366.06095
compound-v3,2024-10-11,454818.36847
compound-v3,2024-10-12,597338.92316
compound-v3,2024-10-13,598105.79804
compound-v3,2024-10-14,598714.649
compound-v3,2024-10-15,601518.7481
compound-v3,2024-10-16,590336.1773
compound-v3,2024-10-17,589716.74009
compound-v3,2024-10-18,593679.07658
compound-v3,2024-10-19,595530.14451
compound-v3,2024-10-20,596237.83184
compound-v3,2024-10-21,598408.62713
compound-v3,2024-10-22,598408.03818
compound-v3,2024-10-23,602912.27841
compound-v3,2024-10-24,607325.80838
compound-v3,2024-10-25,547140.82447
compound-v3,2024-10-26,544470.01813
compound-v3,2024-10-27,547349.11333
compound-v3,2024-10-28,547076.90721
compound-v3,2024-10-29,547122.45604
compound-v3,2024-10-30,545891.8801
compound-v3,2024-10-31,545099.84384
compound-v3,2024-11-01,548440.78986
compound-v3,2024-11-02,550650.99029
compound-v3,2024-11-03,553828.51706
compound-v3,2024-11-04,553500.69111
compound-v3,2024-11-05,556919.49274
compound-v3,2024-11-06,556949.84354
compound-v3,2024-11-07,556942.92422
compound-v3,2024-11-08,540845.64832
compound-v3,2024-11-09,540584.53945
compound-v3,2024-11-10,531209.78097
compound-v3,2024-11-11,519285.7143
compound-v3,2024-11-12,511982.74549
compound-v3,2024-11-13,511843.54572
compound-v3,2024-11-14,522018.68189
compound-v3,2024-11-15,524098.38317
compound-v3,2024-11-16,511537.1815
compound-v3,2024-11-17,504891.78225
compound-v3,2024-11-18,505525.18335
compound-v3,2024-11-19,505875.69578
compound-v3,2024-11-20,711633.35517
compound-v3,2024-11-21,710622.92849
compound-v3,2024-11-22,712034.41071
compound-v3,2024-11-23,731794.31922
compound-v3,2024-11-24,731110.66856
compound-v3,2024-11-25,733756.00343
compound-v3,2024-11-26,732955.65227
compound-v3,2024-11-27,732982.68863
compound-v3,2024-11-28,734761.89505
compound-v3,2024-11-29,735543.67479
compound-v3,2024-11-30,736992.3236
compound-v3,2024-12-01,742257.53663
