protocol,date,op_value
contango-v2,2023-12-06,20.02012
contango-v2,2023-12-07,20.02038
contango-v2,2023-12-08,20.02768
contango-v2,2023-12-09,20.02794
contango-v2,2023-12-10,20.0282
contango-v2,2023-12-11,20.02847
contango-v2,2023-12-12,20.02875
contango-v2,2023-12-13,20.02903
contango-v2,2023-12-14,20.02931
contango-v2,2023-12-15,94.05547
contango-v2,2023-12-16,94.05679
contango-v2,2023-12-17,94.05809
contango-v2,2023-12-18,94.05929
contango-v2,2023-12-19,20.03066
contango-v2,2023-12-20,20.03093
contango-v2,2023-12-21,20.03118
contango-v2,2023-12-22,24.02572
contango-v2,2023-12-23,24.02598
contango-v2,2023-12-24,24.0264
contango-v2,2023-12-25,24.02684
contango-v2,2023-12-26,24.02725
contango-v2,2023-12-27,24.02767
contango-v2,2023-12-28,24.02806
contango-v2,2023-12-29,24.02833
contango-v2,2023-12-30,24.02865
contango-v2,2023-12-31,24.02895
contango-v2,2024-01-01,24.02924
contango-v2,2024-01-02,24.02956
contango-v2,2024-01-03,24.02988
contango-v2,2024-01-04,24.03018
contango-v2,2024-01-05,24.03046
contango-v2,2024-01-06,24.03098
contango-v2,2024-01-07,24.03116
contango-v2,2024-01-08,24.03136
contango-v2,2024-01-09,19.3274
contango-v2,2024-01-10,19.32737
contango-v2,2024-01-11,19.32735
contango-v2,2024-01-12,19.32725
contango-v2,2024-01-13,19.32726
contango-v2,2024-01-14,19.32727
contango-v2,2024-01-15,19.3273
contango-v2,2024-01-16,19.32732
contango-v2,2024-01-17,19.32734
contango-v2,2024-01-18,67.35462
contango-v2,2024-01-19,31.92993
contango-v2,2024-01-20,72.07813
contango-v2,2024-01-21,72.0782
contango-v2,2024-01-22,72.07908
contango-v2,2024-01-23,72.08004
contango-v2,2024-01-24,72.08092
contango-v2,2024-01-25,72.08182
contango-v2,2024-01-26,72.08272
contango-v2,2024-01-27,80.64952
contango-v2,2024-01-28,80.65051
contango-v2,2024-01-29,80.65148
contango-v2,2024-01-30,72.0863
contango-v2,2024-01-31,72.08721
contango-v2,2024-02-01,72.08809
contango-v2,2024-02-02,2499.58227
contango-v2,2024-02-03,2499.51241
contango-v2,2024-02-06,2499.93122
contango-v2,2024-02-07,72.36324
contango-v2,2024-02-09,74.3912
contango-v2,2024-02-12,74.39391
contango-v2,2024-02-13,74.39466
contango-v2,2024-02-14,74.39523
contango-v2,2024-02-15,74.39625
contango-v2,2024-02-16,74.3973
contango-v2,2024-02-17,74.39833
contango-v2,2024-02-18,26.35475
contango-v2,2024-02-19,26.35516
contango-v2,2024-02-20,26.35559
contango-v2,2024-02-21,-39.64726
contango-v2,2024-02-22,26.35639
contango-v2,2024-02-23,26.35679
contango-v2,2024-02-24,67.78873
contango-v2,2024-02-25,111.82364
contango-v2,2024-02-26,2396.38115
contango-v2,2024-02-27,143.15768
contango-v2,2024-02-28,139.15041
contango-v2,2024-02-29,2115.93231
contango-v2,2024-03-01,2115.98033
contango-v2,2024-03-02,2116.04239
contango-v2,2024-03-03,9691.75901
contango-v2,2024-03-04,1288.13453
contango-v2,2024-03-05,2124.1324
contango-v2,2024-03-06,845.60771
contango-v2,2024-03-07,845.62704
contango-v2,2024-03-08,845.63975
contango-v2,2024-03-09,-8.22487
contango-v2,2024-03-10,-8.2329
contango-v2,2024-03-11,853.02563
contango-v2,2024-03-12,853.03998
contango-v2,2024-03-13,65.13982
contango-v2,2024-03-14,65.13385
contango-v2,2024-03-15,-748.34653
contango-v2,2024-03-16,87.89519
contango-v2,2024-03-17,44.72902
contango-v2,2024-03-18,430.82047
contango-v2,2024-03-19,57.74302
contango-v2,2024-03-20,57.74334
contango-v2,2024-03-21,44.73025
contango-v2,2024-03-22,44.73073
contango-v2,2024-03-23,44.7309
contango-v2,2024-03-24,44.73124
contango-v2,2024-03-25,44.73155
contango-v2,2024-03-26,44.73185
