protocol,date,op_value
exactly,2023-11-01,115522.65332
exactly,2023-11-02,115558.78009
exactly,2023-11-03,107558.16861
exactly,2023-11-04,107666.80839
exactly,2023-11-05,140936.72602
exactly,2023-11-06,140865.45182
exactly,2023-11-07,140777.08513
exactly,2023-11-08,139424.56752
exactly,2023-11-09,142295.00504
exactly,2023-11-10,141947.38591
exactly,2023-11-11,140742.41423
exactly,2023-11-12,141726.88559
exactly,2023-11-13,140767.96097
exactly,2023-11-14,140395.21618
exactly,2023-11-15,139169.59037
exactly,2023-11-16,139315.8851
exactly,2023-11-17,121730.5099
exactly,2023-11-18,122128.98729
exactly,2023-11-19,121679.01985
exactly,2023-11-20,124140.29882
exactly,2023-11-21,124141.32344
exactly,2023-11-22,124211.60177
exactly,2023-11-23,116989.41964
exactly,2023-11-24,116984.93949
exactly,2023-11-25,117468.84576
exactly,2023-11-26,117441.54251
exactly,2023-11-27,112159.87958
exactly,2023-11-28,112108.85975
exactly,2023-11-29,112087.66244
exactly,2023-11-30,112104.81782
exactly,2023-12-01,112068.95102
exactly,2023-12-02,112091.24396
exactly,2023-12-03,112356.24894
exactly,2023-12-04,115985.38756
exactly,2023-12-05,116542.78064
exactly,2023-12-06,115600.83282
exactly,2023-12-07,115015.45866
exactly,2023-12-08,114031.1495
exactly,2023-12-09,114018.15642
exactly,2023-12-10,113807.38982
exactly,2023-12-11,103089.96677
exactly,2023-12-12,103467.28299
exactly,2023-12-13,103473.0415
exactly,2023-12-14,102837.17206
exactly,2023-12-15,102308.7708
exactly,2023-12-16,102484.88164
exactly,2023-12-17,104718.72708
exactly,2023-12-18,104742.66325
exactly,2023-12-19,105099.53831
exactly,2023-12-20,104804.39341
exactly,2023-12-21,104438.13446
exactly,2023-12-22,114069.11657
exactly,2023-12-23,106780.76269
exactly,2023-12-24,108255.02802
exactly,2023-12-25,107253.37111
exactly,2023-12-26,106996.69971
exactly,2023-12-27,106370.13636
exactly,2023-12-28,98903.7707
exactly,2023-12-29,99933.58736
exactly,2023-12-30,110534.75903
exactly,2023-12-31,110935.12634
exactly,2024-01-01,110963.76392
exactly,2024-01-02,110372.22995
exactly,2024-01-03,110259.37395
exactly,2024-01-04,109710.71755
exactly,2024-01-05,110026.35315
exactly,2024-01-06,109778.09576
exactly,2024-01-07,111803.0751
exactly,2024-01-08,111802.57609
