protocol,date,op_value
extra-finance,2023-11-01,355293.85737
extra-finance,2023-11-02,350153.55677
extra-finance,2023-11-03,383327.06662
extra-finance,2023-11-04,437352.91205
extra-finance,2023-11-05,502069.41965
extra-finance,2023-11-06,492188.39031
extra-finance,2023-11-07,486177.80458
extra-finance,2023-11-08,466972.81155
extra-finance,2023-11-09,468226.45394
extra-finance,2023-11-10,491806.48204
extra-finance,2023-11-11,509586.73434
extra-finance,2023-11-12,502002.55904
extra-finance,2023-11-13,498856.8928
extra-finance,2023-11-14,498513.63632
extra-finance,2023-11-15,497747.82898
extra-finance,2023-11-16,506894.97903
extra-finance,2023-11-17,480628.06245
extra-finance,2023-11-18,471274.80106
extra-finance,2023-11-19,469186.14264
extra-finance,2023-11-20,468559.23446
extra-finance,2023-11-21,472409.99834
extra-finance,2023-11-22,379211.49209
extra-finance,2023-11-23,378893.2135
extra-finance,2023-11-24,391648.10266
extra-finance,2023-11-25,397360.12813
extra-finance,2023-11-26,459888.94358
extra-finance,2023-11-27,461499.43053
extra-finance,2023-11-28,466211.27992
extra-finance,2023-11-29,466641.91263
extra-finance,2023-11-30,444955.5754
extra-finance,2023-12-01,447810.30332
extra-finance,2023-12-02,454959.47755
extra-finance,2023-12-03,451530.71424
extra-finance,2023-12-04,447009.84255
extra-finance,2023-12-05,454027.22745
extra-finance,2023-12-06,441650.77239
extra-finance,2023-12-07,441832.65031
extra-finance,2023-12-08,426451.38992
extra-finance,2023-12-09,426116.28731
extra-finance,2023-12-10,449521.39869
extra-finance,2023-12-11,432013.52449
extra-finance,2023-12-12,440083.43317
extra-finance,2023-12-13,440883.70817
extra-finance,2023-12-14,456254.1815
extra-finance,2023-12-15,486816.62111
extra-finance,2023-12-16,490298.78588
extra-finance,2023-12-17,491224.27889
extra-finance,2023-12-18,490574.6224
extra-finance,2023-12-19,489093.79685
extra-finance,2023-12-20,483146.64158
extra-finance,2023-12-21,482975.66633
extra-finance,2023-12-22,480622.56585
extra-finance,2023-12-23,473451.04925
extra-finance,2023-12-24,481181.32256
extra-finance,2023-12-25,477752.60729
extra-finance,2023-12-26,473587.63253
extra-finance,2023-12-27,474493.91611
extra-finance,2023-12-28,462011.10435
extra-finance,2023-12-29,465668.15315
extra-finance,2023-12-30,483339.47414
extra-finance,2023-12-31,487283.50605
extra-finance,2024-01-01,488109.26912
extra-finance,2024-01-02,488015.40949
extra-finance,2024-01-03,490721.05113
extra-finance,2024-01-04,474999.9496
extra-finance,2024-01-05,485071.62471
extra-finance,2024-01-06,501326.92502
extra-finance,2024-01-07,501697.45854
extra-finance,2024-01-08,505044.57004
extra-finance,2024-01-09,496606.55941
extra-finance,2024-01-10,496047.05422
extra-finance,2024-01-11,485012.96363
extra-finance,2024-01-12,485243.01499
extra-finance,2024-01-13,489180.7895
extra-finance,2024-01-14,485310.21397
extra-finance,2024-01-15,494717.26875
extra-finance,2024-01-16,506756.9994
extra-finance,2024-01-17,526520.55029
extra-finance,2024-01-18,522668.76193
extra-finance,2024-01-19,535230.97361
extra-finance,2024-01-20,552172.95385
extra-finance,2024-01-21,553021.20602
extra-finance,2024-01-22,553302.10453
extra-finance,2024-01-23,561363.65344
extra-finance,2024-01-24,562655.37315
extra-finance,2024-01-25,549345.60836
extra-finance,2024-01-26,601906.60143
extra-finance,2024-01-27,597401.1258
extra-finance,2024-01-28,614090.97352
extra-finance,2024-01-29,612133.68762
extra-finance,2024-01-30,620424.58495
extra-finance,2024-01-31,619984.43965
extra-finance,2024-02-01,624193.96924
extra-finance,2024-02-02,613906.40342
extra-finance,2024-02-03,621154.70503
extra-finance,2024-02-04,626893.14522
extra-finance,2024-02-05,622330.65136
extra-finance,2024-02-06,636361.4027
extra-finance,2024-02-07,621351.22337
extra-finance,2024-02-08,596385.11159
extra-finance,2024-02-09,611422.05254
extra-finance,2024-02-10,600454.66184
extra-finance,2024-02-11,596351.53018
extra-finance,2024-02-12,587044.50875
extra-finance,2024-02-13,589392.959
extra-finance,2024-02-14,591595.24188
extra-finance,2024-02-15,598451.81749
extra-finance,2024-02-16,594145.71514
extra-finance,2024-02-17,597860.11897
extra-finance,2024-02-18,615465.83505
extra-finance,2024-02-19,602049.16721
extra-finance,2024-02-20,601465.54031
extra-finance,2024-02-21,604590.64668
extra-finance,2024-02-22,651888.11257
extra-finance,2024-02-23,664982.26135
extra-finance,2024-02-24,669260.12327
extra-finance,2024-02-25,669995.22707
extra-finance,2024-02-26,668130.80551
extra-finance,2024-02-27,669444.81089
extra-finance,2024-02-28,697494.04786
extra-finance,2024-02-29,685179.87407
extra-finance,2024-03-01,693345.44145
extra-finance,2024-03-02,597736.3159
extra-finance,2024-03-03,585469.2596
extra-finance,2024-03-04,585896.29343
extra-finance,2024-03-05,582359.49573
extra-finance,2024-03-06,561407.66112
extra-finance,2024-03-07,556797.19694
extra-finance,2024-03-08,559159.40466
extra-finance,2024-03-09,565087.35378
extra-finance,2024-03-11,754480.04775
extra-finance,2024-03-12,741801.84225
extra-finance,2024-03-13,742670.78344
extra-finance,2024-03-14,690023.34371
extra-finance,2024-03-15,689945.73828
extra-finance,2024-03-16,695044.42485
extra-finance,2024-03-17,705375.0046
extra-finance,2024-03-18,714235.75865
extra-finance,2024-03-19,720913.28375
extra-finance,2024-03-20,705794.48115
extra-finance,2024-03-21,705650.14868
extra-finance,2024-03-22,711753.34612
extra-finance,2024-03-23,716254.86097
extra-finance,2024-03-24,719977.8164
extra-finance,2024-03-25,712027.50543
extra-finance,2024-03-26,723034.90415
extra-finance,2024-03-27,711350.08066
extra-finance,2024-03-28,717549.49062
extra-finance,2024-03-29,754608.22953
extra-finance,2024-03-30,752540.20806
extra-finance,2024-03-31,750514.76883
extra-finance,2024-04-01,749040.50894
extra-finance,2024-04-02,761317.26473
extra-finance,2024-04-03,775086.46854
extra-finance,2024-04-04,787432.53289
extra-finance,2024-04-05,721195.94865
extra-finance,2024-04-06,796535.80232
extra-finance,2024-04-07,771212.48288
extra-finance,2024-04-08,754005.68043
extra-finance,2024-04-09,734098.75631
extra-finance,2024-04-10,783470.93284
extra-finance,2024-04-11,790181.51502
extra-finance,2024-04-12,856919.30692
extra-finance,2024-04-13,804322.02152
extra-finance,2024-04-14,782331.32364
extra-finance,2024-04-15,826657.96493
extra-finance,2024-04-16,854482.89426
extra-finance,2024-04-17,876393.28277
extra-finance,2024-04-18,888120.63369
extra-finance,2024-04-19,841032.49526
extra-finance,2024-04-20,838148.64326
extra-finance,2024-04-21,828380.91305
extra-finance,2024-04-22,840609.36272
extra-finance,2024-04-23,841283.83224
extra-finance,2024-04-24,844408.55767
extra-finance,2024-04-25,865932.21916
extra-finance,2024-04-26,887823.07662
extra-finance,2024-04-27,900151.83062
extra-finance,2024-04-28,894210.88024
extra-finance,2024-04-29,900770.56432
extra-finance,2024-04-30,972228.68627
extra-finance,2024-05-01,1059020.1988
extra-finance,2024-05-02,1050974.62391
extra-finance,2024-05-03,1062635.54476
extra-finance,2024-05-04,970101.78631
extra-finance,2024-05-05,966544.76754
extra-finance,2024-05-06,964926.21341
extra-finance,2024-05-07,970120.6045
extra-finance,2024-05-08,976151.58146
extra-finance,2024-05-09,978722.51811
extra-finance,2024-05-10,983889.48029
extra-finance,2024-05-11,984463.41827
extra-finance,2024-05-12,929937.57845
extra-finance,2024-05-13,940334.05278
extra-finance,2024-05-14,944740.37944
extra-finance,2024-05-15,964157.72741
extra-finance,2024-05-16,1060075.52583
extra-finance,2024-05-17,1059009.56035
extra-finance,2024-05-18,1048810.63268
extra-finance,2024-05-19,917120.2868
extra-finance,2024-05-20,933540.02098
extra-finance,2024-05-21,782601.64566
extra-finance,2024-05-22,790616.65062
extra-finance,2024-05-23,799202.24145
extra-finance,2024-05-24,799244.03892
extra-finance,2024-05-25,812121.52966
extra-finance,2024-05-26,828591.069
extra-finance,2024-05-27,820018.00261
extra-finance,2024-05-28,819690.96943
extra-finance,2024-05-29,836468.48772
extra-finance,2024-05-30,843222.57798
extra-finance,2024-05-31,845338.24753
extra-finance,2024-06-01,840914.30756
extra-finance,2024-06-02,838806.92241
extra-finance,2024-06-03,844311.26235
extra-finance,2024-06-04,824550.27193
extra-finance,2024-06-05,812839.99505
extra-finance,2024-06-06,815363.02312
extra-finance,2024-06-07,817529.46307
extra-finance,2024-06-08,855196.78037
extra-finance,2024-06-09,828699.64733
extra-finance,2024-06-10,818287.08523
extra-finance,2024-06-11,793673.68236
extra-finance,2024-06-12,792386.46006
extra-finance,2024-06-13,803781.01787
extra-finance,2024-06-14,805738.771
extra-finance,2024-06-15,809420.36398
extra-finance,2024-06-16,813582.71798
extra-finance,2024-06-17,810956.71682
extra-finance,2024-06-18,825235.17577
extra-finance,2024-06-19,831156.58797
extra-finance,2024-06-20,822117.41819
extra-finance,2024-06-21,797960.00329
extra-finance,2024-06-22,789756.18571
extra-finance,2024-06-23,796546.79022
extra-finance,2024-06-24,795034.11941
extra-finance,2024-06-25,804224.32521
extra-finance,2024-06-26,810040.01802
extra-finance,2024-06-27,818948.29725
extra-finance,2024-06-28,838902.05048
extra-finance,2024-06-29,842969.21122
extra-finance,2024-06-30,832539.3247
extra-finance,2024-07-01,852347.94804
extra-finance,2024-07-02,866457.19349
extra-finance,2024-07-03,863576.46716
extra-finance,2024-07-04,841623.65479
extra-finance,2024-07-05,904465.68847
extra-finance,2024-07-06,948551.99457
extra-finance,2024-07-07,952903.13319
extra-finance,2024-07-08,943160.92972
extra-finance,2024-07-09,928182.8358
extra-finance,2024-07-10,909760.64169
extra-finance,2024-07-11,921225.50758
extra-finance,2024-07-12,918997.21878
extra-finance,2024-07-13,904464.72836
extra-finance,2024-07-14,906688.04889
extra-finance,2024-07-15,909555.12834
extra-finance,2024-07-16,937002.74438
extra-finance,2024-07-17,943925.48146
extra-finance,2024-07-18,947119.49554
extra-finance,2024-07-19,968341.25586
extra-finance,2024-07-20,957025.90801
extra-finance,2024-07-21,959474.31191
extra-finance,2024-07-22,933322.22839
extra-finance,2024-07-23,976751.79052
extra-finance,2024-07-24,991361.18969
extra-finance,2024-07-25,1001541.82042
extra-finance,2024-07-26,1080718.65589
extra-finance,2024-07-27,1087239.02726
extra-finance,2024-07-28,1082959.09501
extra-finance,2024-07-29,1072171.3747
extra-finance,2024-07-30,1077578.77864
extra-finance,2024-07-31,1075941.71035
extra-finance,2024-08-01,1077999.25285
extra-finance,2024-08-02,1089262.85336
extra-finance,2024-08-03,1085512.75828
extra-finance,2024-08-04,1077489.56337
extra-finance,2024-08-05,1078619.96508
extra-finance,2024-08-06,1073293.78786
extra-finance,2024-08-07,1062507.16873
