protocol,date,op_value
hidden-hand,2023-11-01,16633.7906
hidden-hand,2023-11-02,15585.8407
hidden-hand,2023-11-03,16117.33933
hidden-hand,2023-11-04,15585.8407
hidden-hand,2023-11-05,15577.10678
hidden-hand,2023-11-06,15562.67917
hidden-hand,2023-11-07,15475.09267
hidden-hand,2023-11-08,15475.09267
hidden-hand,2023-11-09,15475.09267
hidden-hand,2023-11-10,14163.29931
hidden-hand,2023-11-11,14163.29931
hidden-hand,2023-11-12,14163.29931
hidden-hand,2023-11-13,22173.29931
hidden-hand,2023-11-14,22173.29931
hidden-hand,2023-11-15,16900.79609
hidden-hand,2023-11-16,16233.6429
hidden-hand,2023-11-17,16049.55974
hidden-hand,2023-11-18,15682.85216
hidden-hand,2023-11-19,15682.85216
hidden-hand,2023-11-20,15682.85216
hidden-hand,2023-11-21,15186.75588
hidden-hand,2023-11-22,15186.75588
hidden-hand,2023-11-23,15186.75588
hidden-hand,2023-11-24,15049.65517
hidden-hand,2023-11-25,28217.77311
hidden-hand,2023-11-26,28201.09245
hidden-hand,2023-11-27,26934.13862
hidden-hand,2023-11-28,26934.13862
hidden-hand,2023-11-29,18807.94221
hidden-hand,2023-11-30,17353.00915
hidden-hand,2023-12-01,17346.2212
hidden-hand,2023-12-02,17257.23153
hidden-hand,2023-12-03,17257.23153
hidden-hand,2023-12-04,17242.40667
hidden-hand,2023-12-05,16590.80579
hidden-hand,2023-12-06,16590.80579
hidden-hand,2023-12-07,16578.83087
hidden-hand,2023-12-08,16006.1375
hidden-hand,2023-12-09,25678.02687
hidden-hand,2023-12-10,25676.59623
hidden-hand,2023-12-11,25628.84164
hidden-hand,2023-12-12,25582.50728
hidden-hand,2023-12-13,18267.29607
hidden-hand,2023-12-14,18260.00455
hidden-hand,2023-12-15,18255.40365
hidden-hand,2023-12-16,18032.86567
hidden-hand,2023-12-17,17945.20295
hidden-hand,2023-12-18,17882.08442
hidden-hand,2023-12-19,17694.27662
hidden-hand,2023-12-20,17694.27662
hidden-hand,2023-12-21,17694.27662
hidden-hand,2023-12-22,17694.27662
hidden-hand,2023-12-23,30553.53981
hidden-hand,2023-12-24,30539.0978
hidden-hand,2023-12-25,30539.0978
hidden-hand,2023-12-26,30364.07277
hidden-hand,2023-12-27,21656.45315
hidden-hand,2023-12-28,20468.89785
hidden-hand,2023-12-29,20014.29313
hidden-hand,2023-12-30,19923.42002
hidden-hand,2023-12-31,19362.82641
hidden-hand,2024-01-01,19358.02137
hidden-hand,2024-01-02,19303.27327
hidden-hand,2024-01-03,18774.60421
hidden-hand,2024-01-04,17234.86016
hidden-hand,2024-01-05,16513.74007
hidden-hand,2024-01-06,24588.84969
hidden-hand,2024-01-07,24047.2728
hidden-hand,2024-01-08,24047.2728
hidden-hand,2024-01-09,24047.2728
hidden-hand,2024-01-10,18665.81595
hidden-hand,2024-01-11,18143.9646
hidden-hand,2024-01-12,18127.30776
hidden-hand,2024-01-13,18124.20993
hidden-hand,2024-01-14,18071.96817
hidden-hand,2024-01-15,18071.96817
hidden-hand,2024-01-16,18031.4223
hidden-hand,2024-01-17,17724.82145
hidden-hand,2024-01-18,17721.70568
hidden-hand,2024-01-19,17384.02083
hidden-hand,2024-01-20,26281.63385
hidden-hand,2024-01-21,26626.06914
hidden-hand,2024-01-22,26566.86562
hidden-hand,2024-01-23,27181.86562
hidden-hand,2024-01-24,20144.81164
hidden-hand,2024-01-25,19877.68864
hidden-hand,2024-01-26,19712.77543
hidden-hand,2024-01-27,19351.70115
hidden-hand,2024-01-28,19351.70115
hidden-hand,2024-01-29,19351.70115
hidden-hand,2024-01-30,19351.70115
hidden-hand,2024-01-31,19351.70115
hidden-hand,2024-02-01,19351.70115
hidden-hand,2024-02-02,19351.70115
hidden-hand,2024-02-03,27351.70115
hidden-hand,2024-02-04,27245.65838
hidden-hand,2024-02-05,27187.15512
hidden-hand,2024-02-06,28720.15512
hidden-hand,2024-02-07,23904.69506
hidden-hand,2024-02-08,23881.04209
hidden-hand,2024-02-09,23873.52799
hidden-hand,2024-02-10,23676.37081
hidden-hand,2024-02-11,23637.79549
hidden-hand,2024-02-12,23626.32249
hidden-hand,2024-02-13,22995.48631
hidden-hand,2024-02-14,22985.7902
hidden-hand,2024-02-15,22985.7902
hidden-hand,2024-02-16,22958.63162
hidden-hand,2024-02-17,22958.63162
hidden-hand,2024-02-18,23650.68254
hidden-hand,2024-02-19,29964.37219
hidden-hand,2024-02-20,29953.87239
hidden-hand,2024-02-21,25176.43917
hidden-hand,2024-02-22,24941.46885
hidden-hand,2024-02-23,24941.46885
hidden-hand,2024-02-24,24941.46885
hidden-hand,2024-02-25,24883.17051
hidden-hand,2024-02-26,24883.17051
hidden-hand,2024-02-27,24883.17051
hidden-hand,2024-02-28,24843.7915
hidden-hand,2024-02-29,24833.67429
hidden-hand,2024-03-01,24833.67429
hidden-hand,2024-03-02,24483.43751
hidden-hand,2024-03-03,24483.43751
hidden-hand,2024-03-04,24902.65211
hidden-hand,2024-03-05,31646.14863
hidden-hand,2024-03-06,26594.06252
hidden-hand,2024-03-07,26389.31137
hidden-hand,2024-03-08,25014.85003
hidden-hand,2024-03-09,25014.85003
hidden-hand,2024-03-10,23773.6493
hidden-hand,2024-03-11,23763.01414
hidden-hand,2024-03-12,23763.01414
hidden-hand,2024-03-13,23693.15216
