protocol,date,op_value
lets-get-hai,2024-03-14,159723.41924
lets-get-hai,2024-03-15,164462.68566
lets-get-hai,2024-03-16,176543.09612
lets-get-hai,2024-03-17,197219.67382
lets-get-hai,2024-03-18,199522.74533
lets-get-hai,2024-03-19,198803.34933
lets-get-hai,2024-03-20,216646.46868
lets-get-hai,2024-03-21,216998.99852
lets-get-hai,2024-03-22,229242.58609
lets-get-hai,2024-03-23,229270.71738
lets-get-hai,2024-03-24,229270.71738
lets-get-hai,2024-03-25,228813.71738
lets-get-hai,2024-03-26,230958.96396
lets-get-hai,2024-03-27,252246.41959
lets-get-hai,2024-03-28,247646.41959
lets-get-hai,2024-03-29,256744.31919
lets-get-hai,2024-03-30,257544.31919
lets-get-hai,2024-03-31,258084.80643
lets-get-hai,2024-04-01,259171.89507
lets-get-hai,2024-04-02,260219.73862
lets-get-hai,2024-04-03,265890.30529
lets-get-hai,2024-04-04,267134.09713
lets-get-hai,2024-04-05,287630.05155
lets-get-hai,2024-04-06,283380.18208
lets-get-hai,2024-04-07,293434.98709
lets-get-hai,2024-04-08,303130.24602
lets-get-hai,2024-04-09,303150.24602
lets-get-hai,2024-04-10,298915.30233
lets-get-hai,2024-04-11,299265.30233
lets-get-hai,2024-04-12,305450.18504
lets-get-hai,2024-04-13,266972.99211
lets-get-hai,2024-04-14,270713.80852
lets-get-hai,2024-04-15,247981.07363
lets-get-hai,2024-04-16,248296.07363
lets-get-hai,2024-04-17,248838.1388
lets-get-hai,2024-04-18,248731.64359
lets-get-hai,2024-04-19,256429.2902
lets-get-hai,2024-04-20,263915.12447
lets-get-hai,2024-04-21,263915.12447
lets-get-hai,2024-04-22,265583.62447
lets-get-hai,2024-04-23,268927.01391
lets-get-hai,2024-04-24,302927.01391
lets-get-hai,2024-04-25,303142.83977
lets-get-hai,2024-04-26,307321.55335
lets-get-hai,2024-04-27,306328.52209
lets-get-hai,2024-04-28,306328.52209
lets-get-hai,2024-04-29,306457.11724
lets-get-hai,2024-04-30,310957.11724
lets-get-hai,2024-05-01,310957.11724
lets-get-hai,2024-05-02,311074.72199
lets-get-hai,2024-05-03,313338.19053
lets-get-hai,2024-05-04,312838.19053
lets-get-hai,2024-05-05,313460.90189
lets-get-hai,2024-05-06,318299.64398
lets-get-hai,2024-05-07,335958.41059
lets-get-hai,2024-05-08,334658.41059
lets-get-hai,2024-05-09,335591.61986
lets-get-hai,2024-05-10,336386.84246
lets-get-hai,2024-05-11,331917.58332
lets-get-hai,2024-05-12,331990.62279
lets-get-hai,2024-05-13,336314.57902
lets-get-hai,2024-05-14,340261.46513
lets-get-hai,2024-05-15,335275.46513
lets-get-hai,2024-05-16,335325.46513
lets-get-hai,2024-05-17,334373.69753
lets-get-hai,2024-05-18,334793.69753
lets-get-hai,2024-05-19,336351.28961
lets-get-hai,2024-05-20,336249.08192
lets-get-hai,2024-05-21,335802.84758
lets-get-hai,2024-05-22,361051.73663
lets-get-hai,2024-05-23,365742.72027
lets-get-hai,2024-05-24,397167.24229
lets-get-hai,2024-05-25,400177.24229
lets-get-hai,2024-05-26,400211.49296
lets-get-hai,2024-05-27,400654.49296
lets-get-hai,2024-05-28,401786.59333
lets-get-hai,2024-05-29,402191.39762
lets-get-hai,2024-05-30,411621.39762
lets-get-hai,2024-05-31,414937.51984
lets-get-hai,2024-06-01,414937.51984
lets-get-hai,2024-06-02,414637.51984
lets-get-hai,2024-06-03,408298.72656
lets-get-hai,2024-06-04,408001.71312
lets-get-hai,2024-06-05,475242.28743
lets-get-hai,2024-06-06,477234.10736
lets-get-hai,2024-06-07,477943.01774
lets-get-hai,2024-06-08,479213.24549
lets-get-hai,2024-06-09,478730.41333
lets-get-hai,2024-06-10,480111.70797
lets-get-hai,2024-06-11,475984.73797
lets-get-hai,2024-06-12,469143.3368
lets-get-hai,2024-06-13,474603.62807
lets-get-hai,2024-06-14,472519.85321
lets-get-hai,2024-06-15,494902.31012
lets-get-hai,2024-06-16,495666.17358
lets-get-hai,2024-06-17,495817.62605
lets-get-hai,2024-06-18,503508.62796
lets-get-hai,2024-06-19,490016.61715
lets-get-hai,2024-06-20,490016.61715
lets-get-hai,2024-06-21,491859.43105
lets-get-hai,2024-06-22,493889.44105
lets-get-hai,2024-06-23,507090.37354
lets-get-hai,2024-06-24,506648.11354
lets-get-hai,2024-06-25,507425.15922
lets-get-hai,2024-06-26,497141.62628
lets-get-hai,2024-06-27,518033.32298
lets-get-hai,2024-06-28,520631.48515
lets-get-hai,2024-06-29,521131.48515
lets-get-hai,2024-06-30,521131.48515
lets-get-hai,2024-07-01,521131.48515
lets-get-hai,2024-07-02,501577.48515
lets-get-hai,2024-07-03,506457.49382
lets-get-hai,2024-07-04,506150.54415
lets-get-hai,2024-07-05,504113.24595
lets-get-hai,2024-07-06,463381.23251
lets-get-hai,2024-07-07,463781.23251
lets-get-hai,2024-07-08,464934.83369
lets-get-hai,2024-07-09,463218.13574
lets-get-hai,2024-07-10,459260.71543
lets-get-hai,2024-07-11,459260.71505
lets-get-hai,2024-07-12,459583.20709
lets-get-hai,2024-07-13,459583.20709
lets-get-hai,2024-07-14,459514.68413
lets-get-hai,2024-07-15,456339.153
lets-get-hai,2024-07-16,456339.153
lets-get-hai,2024-07-17,455154.58101
lets-get-hai,2024-07-18,452459.96144
lets-get-hai,2024-07-19,453440.04253
lets-get-hai,2024-07-20,459509.94441
lets-get-hai,2024-07-21,459509.94441
lets-get-hai,2024-07-22,458298.98625
lets-get-hai,2024-07-23,458239.23273
lets-get-hai,2024-07-24,458239.23273
lets-get-hai,2024-07-25,458239.23273
lets-get-hai,2024-07-26,460050.12331
lets-get-hai,2024-07-27,460369.06221
lets-get-hai,2024-07-28,460369.06221
lets-get-hai,2024-07-29,459727.6075
lets-get-hai,2024-07-30,458926.87823
lets-get-hai,2024-07-31,458126.87823
lets-get-hai,2024-08-01,458126.87823
lets-get-hai,2024-08-02,459075.8278
lets-get-hai,2024-08-03,459150.53605
lets-get-hai,2024-08-04,468597.37231
lets-get-hai,2024-08-05,466667.67397
lets-get-hai,2024-08-06,417452.96017
lets-get-hai,2024-08-07,417269.81535
lets-get-hai,2024-08-08,416360.7895
lets-get-hai,2024-08-09,418815.04191
lets-get-hai,2024-08-10,418887.04191
lets-get-hai,2024-08-11,411535.99601
lets-get-hai,2024-08-12,410115.40432
lets-get-hai,2024-08-13,410006.60732
lets-get-hai,2024-08-14,414375.15483
lets-get-hai,2024-08-15,414972.83943
lets-get-hai,2024-08-16,415672.84038
lets-get-hai,2024-08-17,416812.8334
lets-get-hai,2024-08-18,424912.8334
lets-get-hai,2024-08-19,425218.62777
lets-get-hai,2024-08-20,425218.62777
lets-get-hai,2024-08-21,424640.99962
lets-get-hai,2024-08-22,424795.73566
lets-get-hai,2024-08-23,425595.73566
lets-get-hai,2024-08-24,424694.46154
lets-get-hai,2024-08-25,429317.57238
lets-get-hai,2024-08-26,429754.20123
lets-get-hai,2024-08-27,429739.2826
lets-get-hai,2024-08-28,430453.73955
lets-get-hai,2024-08-29,430453.73955
lets-get-hai,2024-08-30,441455.82692
lets-get-hai,2024-08-31,441455.82692
