protocol,date,op_value
metronome-synth,2023-11-01,56406.67476
metronome-synth,2023-11-02,56406.32176
metronome-synth,2023-11-03,93063.39296
metronome-synth,2023-11-04,93061.31466
metronome-synth,2023-11-05,92960.33866
metronome-synth,2023-11-06,66044.2895
metronome-synth,2023-11-07,56884.69317
metronome-synth,2023-11-08,38376.49188
metronome-synth,2023-11-09,38373.41018
metronome-synth,2023-11-10,21242.02648
metronome-synth,2023-11-11,21221.00998
metronome-synth,2023-11-12,21221.00998
metronome-synth,2023-11-13,21220.29998
metronome-synth,2023-11-14,21205.29998
metronome-synth,2023-11-15,9203.29998
metronome-synth,2023-11-16,9251.19998
metronome-synth,2023-11-17,9240.61398
metronome-synth,2023-11-18,9240.61398
metronome-synth,2023-11-19,9239.91398
metronome-synth,2023-11-20,9234.93198
metronome-synth,2023-11-21,9232.24608
metronome-synth,2023-11-22,9231.18615
metronome-synth,2023-11-23,9231.18615
metronome-synth,2023-11-24,8594.14331
metronome-synth,2023-11-25,8594.14331
metronome-synth,2023-11-26,8594.14331
metronome-synth,2023-11-27,8594.14331
metronome-synth,2023-11-28,8594.14331
metronome-synth,2023-11-29,8618.25501
metronome-synth,2023-11-30,9165.40297
metronome-synth,2023-12-01,9166.40297
metronome-synth,2023-12-02,9805.94227
metronome-synth,2023-12-03,10782.94227
metronome-synth,2023-12-04,10783.20008
metronome-synth,2023-12-05,10787.70008
metronome-synth,2023-12-06,9782.70008
metronome-synth,2023-12-07,10782.70008
metronome-synth,2023-12-08,11445.80505
metronome-synth,2023-12-09,11445.80505
metronome-synth,2023-12-10,11445.80505
metronome-synth,2023-12-11,12085.35439
metronome-synth,2023-12-12,12081.57214
metronome-synth,2023-12-13,12081.57214
metronome-synth,2023-12-14,12080.57214
metronome-synth,2023-12-15,12059.47229
metronome-synth,2023-12-16,12059.47229
metronome-synth,2023-12-17,12061.46629
metronome-synth,2023-12-18,12061.46629
metronome-synth,2023-12-19,12060.47529
metronome-synth,2023-12-20,12260.87931
metronome-synth,2023-12-21,10460.83301
metronome-synth,2023-12-22,10459.83301
metronome-synth,2023-12-23,9609.87967
