protocol,date,op_value
pooltogether,2024-05-10,23849.644
pooltogether,2024-05-11,24477.64091
pooltogether,2024-05-12,24530.96308
pooltogether,2024-05-13,24518.41144
pooltogether,2024-05-14,24565.61889
pooltogether,2024-05-15,19000.75321
pooltogether,2024-05-16,13920.97591
pooltogether,2024-05-17,11810.21121
pooltogether,2024-05-18,10913.5602
pooltogether,2024-05-19,10913.30889
pooltogether,2024-05-20,10863.07804
pooltogether,2024-05-21,10682.55578
pooltogether,2024-05-22,10646.53994
pooltogether,2024-05-23,10643.96655
pooltogether,2024-05-24,10394.62096
pooltogether,2024-05-25,10394.63338
pooltogether,2024-05-26,10394.63463
pooltogether,2024-05-27,10394.6363
pooltogether,2024-05-28,2044.82735
pooltogether,2024-05-29,2044.83161
pooltogether,2024-05-30,2044.83783
pooltogether,2024-05-31,2044.84015
pooltogether,2024-06-01,2044.84154
pooltogether,2024-06-02,2044.84148
pooltogether,2024-06-03,2044.85479
pooltogether,2024-06-04,2044.85036
pooltogether,2024-06-05,2024.67077
pooltogether,2024-06-06,2024.66397
pooltogether,2024-06-07,2024.56271
pooltogether,2024-06-08,2024.59223
pooltogether,2024-06-09,2024.60672
pooltogether,2024-06-10,2024.50435
pooltogether,2024-06-11,2024.51088
pooltogether,2024-06-12,2010.80205
pooltogether,2024-06-13,2010.78954
pooltogether,2024-06-14,2010.8109
pooltogether,2024-06-15,2010.20804
pooltogether,2024-06-16,2009.19135
pooltogether,2024-06-17,2007.61758
pooltogether,2024-06-18,2007.64393
pooltogether,2024-06-19,2007.66913
pooltogether,2024-06-20,2008.18516
pooltogether,2024-06-21,2007.82401
pooltogether,2024-06-22,2007.82662
pooltogether,2024-06-23,2007.78052
pooltogether,2024-06-24,1906.43487
pooltogether,2024-06-25,1899.48089
pooltogether,2024-06-26,1899.43161
pooltogether,2024-06-27,1899.39027
pooltogether,2024-06-28,1899.38886
pooltogether,2024-06-29,1899.35715
pooltogether,2024-06-30,1899.31784
pooltogether,2024-07-01,1899.28028
pooltogether,2024-07-02,1899.24799
pooltogether,2024-07-03,1899.24574
pooltogether,2024-07-04,1899.24154
pooltogether,2024-07-05,1899.2353
pooltogether,2024-07-06,1899.2582
pooltogether,2024-07-07,1899.18678
pooltogether,2024-07-08,1899.20978
pooltogether,2024-07-09,1899.163
pooltogether,2024-07-10,1899.11363
pooltogether,2024-07-11,1899.09465
pooltogether,2024-07-12,1899.09397
pooltogether,2024-07-13,1899.06886
pooltogether,2024-07-14,1899.0722
pooltogether,2024-07-15,1899.04784
pooltogether,2024-07-16,1899.04469
pooltogether,2024-07-17,1899.05011
pooltogether,2024-07-18,1899.0431
pooltogether,2024-07-19,1899.04459
pooltogether,2024-07-20,1899.0221
pooltogether,2024-07-21,1899.02677
pooltogether,2024-07-22,1899.0183
pooltogether,2024-07-23,1899.03305
pooltogether,2024-07-24,1899.03746
pooltogether,2024-07-25,1899.05998
pooltogether,2024-07-26,1898.53908
pooltogether,2024-07-27,1898.53125
pooltogether,2024-07-28,1898.52393
pooltogether,2024-07-29,1898.53995
pooltogether,2024-07-30,1898.54018
pooltogether,2024-07-31,1898.55744
pooltogether,2024-08-01,2137.05126
pooltogether,2024-08-02,2183.49974
pooltogether,2024-08-03,2289.66487
pooltogether,2024-08-04,2289.68892
pooltogether,2024-08-05,2289.71464
pooltogether,2024-08-06,2289.79122
pooltogether,2024-08-07,2289.76357
pooltogether,2024-08-08,2289.79835
pooltogether,2024-08-09,2331.80122
pooltogether,2024-08-10,2331.7981
pooltogether,2024-08-11,2331.79746
pooltogether,2024-08-12,2331.83868
pooltogether,2024-08-13,2004.86408
pooltogether,2024-08-14,2004.85899
pooltogether,2024-08-15,2004.87407
pooltogether,2024-08-16,2004.90439
pooltogether,2024-08-17,2004.89098
pooltogether,2024-08-18,2004.88044
pooltogether,2024-08-19,2004.87477
pooltogether,2024-08-20,2004.8733
pooltogether,2024-08-21,2004.88137
pooltogether,2024-08-22,2004.85892
pooltogether,2024-08-23,2004.84965
pooltogether,2024-08-24,2004.82089
pooltogether,2024-08-25,2004.82992
pooltogether,2024-08-26,2004.83885
pooltogether,2024-08-27,2004.86396
pooltogether,2024-08-28,2004.90003
pooltogether,2024-08-29,2004.88659
pooltogether,2024-08-30,2004.8885
pooltogether,2024-08-31,2004.87928
pooltogether,2024-09-01,2004.89345
pooltogether,2024-09-02,2004.91261
pooltogether,2024-09-03,2004.90352
pooltogether,2024-09-04,2004.92003
pooltogether,2024-09-05,2004.92477
pooltogether,2024-09-06,2004.92977
pooltogether,2024-09-07,2004.93921
pooltogether,2024-09-08,2004.91532
pooltogether,2024-09-09,2004.91496
pooltogether,2024-09-10,2004.88637
pooltogether,2024-09-11,2004.87216
pooltogether,2024-09-12,2004.88772
pooltogether,2024-09-13,2004.89544
pooltogether,2024-09-14,2004.89135
pooltogether,2024-09-15,2004.89103
pooltogether,2024-09-16,2004.91103
pooltogether,2024-09-17,2004.92751
pooltogether,2024-09-18,2004.92482
pooltogether,2024-09-19,2004.9212
pooltogether,2024-09-20,2004.89225
pooltogether,2024-09-21,2004.88057
pooltogether,2024-09-22,2004.86641
pooltogether,2024-09-23,2004.88409
pooltogether,2024-09-24,2004.88188
pooltogether,2024-09-25,2004.8744
pooltogether,2024-09-26,2004.88613
pooltogether,2024-09-27,2004.87916
pooltogether,2024-09-28,2004.84969
pooltogether,2024-09-29,2004.85943
pooltogether,2024-09-30,2004.85385
pooltogether,2024-10-01,2004.88032
pooltogether,2024-10-02,2004.90812
pooltogether,2024-10-03,2004.93203
pooltogether,2024-10-04,1962.95086
pooltogether,2024-10-05,1962.93023
pooltogether,2024-10-06,1962.93403
pooltogether,2024-10-07,1962.91808
pooltogether,2024-10-08,1962.91628
pooltogether,2024-10-09,5142.89294
pooltogether,2024-10-10,1962.95745
pooltogether,2024-10-11,1962.9583
pooltogether,2024-10-12,1962.91815
pooltogether,2024-10-13,1962.91706
pooltogether,2024-10-14,1962.92461
pooltogether,2024-10-15,1962.90787
pooltogether,2024-10-16,1962.92557
pooltogether,2024-10-17,1962.91731
pooltogether,2024-10-18,1962.93657
pooltogether,2024-10-19,1962.93217
pooltogether,2024-10-20,1962.93833
pooltogether,2024-10-21,1962.91645
pooltogether,2024-10-22,1962.93419
pooltogether,2024-10-23,1962.9408
pooltogether,2024-10-24,1962.94108
pooltogether,2024-10-25,1962.94332
pooltogether,2024-10-26,1962.96264
pooltogether,2024-10-27,1962.98236
pooltogether,2024-10-28,1962.97778
pooltogether,2024-10-29,1962.97414
pooltogether,2024-10-30,2024.51031
pooltogether,2024-10-31,2024.10162
pooltogether,2024-11-01,2026.27357
pooltogether,2024-11-02,2028.21722
pooltogether,2024-11-03,2029.9618
pooltogether,2024-11-04,2030.17612
pooltogether,2024-11-05,2032.1515
