protocol,date,op_value
premia-v2,2023-11-01,112147.86264
premia-v2,2023-11-02,112147.86264
premia-v2,2023-11-03,112147.86264
premia-v2,2023-11-04,112147.86264
premia-v2,2023-11-06,112147.86264
premia-v2,2023-11-07,112147.86264
premia-v2,2023-11-08,112147.86264
premia-v2,2023-11-09,112051.35128
premia-v2,2023-11-10,112198.30397
premia-v2,2023-11-11,112198.30397
premia-v2,2023-11-12,112198.30397
premia-v2,2023-11-13,112198.30397
premia-v2,2023-11-14,112087.3784
premia-v2,2023-11-15,108902.3849
premia-v2,2023-11-16,108902.3849
premia-v2,2023-11-17,108809.20059
premia-v2,2023-11-18,108809.20059
premia-v2,2023-11-19,108809.20059
premia-v2,2023-11-20,108809.20059
premia-v2,2023-11-21,108809.20059
premia-v2,2023-11-22,108759.20059
premia-v2,2023-11-23,108759.20059
premia-v2,2023-11-24,108759.20059
premia-v2,2023-11-25,108759.20059
premia-v2,2023-11-26,108759.20059
premia-v2,2023-11-27,108759.20059
premia-v2,2023-11-28,108759.20059
premia-v2,2023-11-29,108759.20059
premia-v2,2023-11-30,108759.20059
premia-v2,2023-12-01,108759.20059
premia-v2,2023-12-02,108759.20059
premia-v2,2023-12-03,108759.20059
premia-v2,2023-12-04,108759.20059
premia-v2,2023-12-05,108759.20059
premia-v2,2023-12-06,108759.20059
premia-v2,2023-12-07,108759.20059
premia-v2,2023-12-08,108759.20059
premia-v2,2023-12-09,107496.78471
premia-v2,2023-12-10,107496.78471
premia-v2,2023-12-11,107496.78471
premia-v2,2023-12-12,107496.78471
premia-v2,2023-12-13,106706.1329
premia-v2,2023-12-14,106706.1329
premia-v2,2023-12-15,106706.1329
premia-v2,2023-12-16,106706.1329
premia-v2,2023-12-17,106706.1329
premia-v2,2023-12-18,106706.1329
premia-v2,2023-12-19,106706.1329
premia-v2,2023-12-20,106706.1329
premia-v2,2023-12-21,106706.1329
premia-v2,2023-12-22,106706.1329
premia-v2,2023-12-23,101623.76993
premia-v2,2023-12-24,101623.76993
premia-v2,2023-12-25,101623.76993
premia-v2,2023-12-26,101623.76993
premia-v2,2023-12-27,101623.76993
premia-v2,2023-12-28,101623.76993
premia-v2,2023-12-29,101623.76993
premia-v2,2023-12-30,101623.76993
premia-v2,2023-12-31,101623.76993
premia-v2,2024-01-01,101623.76993
premia-v2,2024-01-02,101623.76993
premia-v2,2024-01-03,101623.76993
premia-v2,2024-01-04,101623.76993
premia-v2,2024-01-05,101623.76993
premia-v2,2024-01-06,101623.76993
premia-v2,2024-01-07,101623.76993
premia-v2,2024-01-08,101623.76993
premia-v2,2024-01-09,101623.76993
premia-v2,2024-01-10,101623.76993
premia-v2,2024-01-11,101623.76993
premia-v2,2024-01-12,101623.76993
premia-v2,2024-01-13,101623.76993
premia-v2,2024-01-14,101623.76993
premia-v2,2024-01-15,101623.76993
premia-v2,2024-01-16,101623.76993
premia-v2,2024-01-17,101623.76993
premia-v2,2024-01-18,101623.76993
premia-v2,2024-01-19,101623.76993
premia-v2,2024-01-20,101623.76993
premia-v2,2024-01-21,101623.76993
premia-v2,2024-01-22,101623.76993
premia-v2,2024-01-23,101623.76993
premia-v2,2024-01-24,101623.76993
premia-v2,2024-01-25,101623.76993
premia-v2,2024-01-26,101623.76993
premia-v2,2024-01-27,101623.76993
premia-v2,2024-01-28,89558.84012
premia-v2,2024-01-29,89558.84012
premia-v2,2024-01-30,89558.84012
premia-v2,2024-01-31,89558.84012
premia-v2,2024-02-01,89558.84012
premia-v2,2024-02-02,89558.84012
premia-v2,2024-02-03,89558.84012
premia-v2,2024-02-04,89558.84012
premia-v2,2024-02-05,89558.84012
premia-v2,2024-02-06,4575.9336
premia-v2,2024-02-07,4575.9336
premia-v2,2024-02-08,4575.9336
premia-v2,2024-02-09,4545.87302
premia-v2,2024-02-10,4545.87302
premia-v2,2024-02-11,4545.87302
premia-v2,2024-02-12,4545.87302
premia-v2,2024-02-13,4545.87302
premia-v2,2024-02-14,4545.87302
premia-v2,2024-02-15,4545.87302
premia-v2,2024-02-16,4545.87302
premia-v2,2024-02-17,4545.87302
premia-v2,2024-02-18,4545.87302
premia-v2,2024-02-19,4545.87302
premia-v2,2024-02-20,4545.87302
premia-v2,2024-02-21,4545.87302
premia-v2,2024-02-22,4545.87302
premia-v2,2024-02-23,4545.87302
premia-v2,2024-02-24,4545.87302
premia-v2,2024-02-25,4545.87302
premia-v2,2024-02-26,4545.87302
premia-v2,2024-02-27,4545.87302
premia-v2,2024-02-28,4545.87302
premia-v2,2024-02-29,4545.87302
premia-v2,2024-03-01,4545.87302
premia-v2,2024-03-02,4545.87302
premia-v2,2024-03-03,4545.87302
premia-v2,2024-03-04,4545.87302
premia-v2,2024-03-05,4545.87302
premia-v2,2024-03-06,4545.87302
premia-v2,2024-03-07,4545.87302
premia-v2,2024-03-08,4545.87302
premia-v2,2024-03-09,4545.87302
premia-v2,2024-03-10,4545.87302
premia-v2,2024-03-11,4545.87302
premia-v2,2024-03-12,4545.87302
premia-v2,2024-03-13,4545.87302
premia-v2,2024-03-14,4545.87302
premia-v2,2024-03-15,4545.87302
premia-v2,2024-03-16,4545.87302
premia-v2,2024-03-17,4545.87302
premia-v2,2024-03-18,4061.75272
premia-v2,2024-03-19,4061.75272
premia-v2,2024-03-20,4061.75272
premia-v2,2024-03-21,4061.75272
premia-v2,2024-03-22,4061.75272
premia-v2,2024-03-23,4061.75272
premia-v2,2024-03-24,4061.75272
premia-v2,2024-03-25,4061.75272
premia-v2,2024-03-26,4061.75272
premia-v2,2024-03-27,4061.75272
premia-v2,2024-03-28,4061.75272
premia-v2,2024-03-29,4061.75272
premia-v2,2024-03-30,4061.75272
premia-v2,2024-03-31,4061.75272
premia-v2,2024-04-01,4061.75272
premia-v2,2024-04-02,4061.75272
premia-v2,2024-04-03,4061.75272
premia-v2,2024-04-04,4061.75272
premia-v2,2024-04-05,4061.75272
premia-v2,2024-04-06,4061.75272
premia-v2,2024-04-07,4061.75272
premia-v2,2024-04-08,4061.75272
premia-v2,2024-04-09,4061.75272
premia-v2,2024-04-10,4061.75272
premia-v2,2024-04-11,4061.75272
premia-v2,2024-04-12,4061.75272
premia-v2,2024-04-13,4061.75272
premia-v2,2024-04-14,4061.75272
premia-v2,2024-04-15,4061.75272
premia-v2,2024-04-16,4061.75272
premia-v2,2024-04-17,4061.75272
premia-v2,2024-04-18,4061.75272
premia-v2,2024-04-19,4061.75272
premia-v2,2024-04-20,4061.75272
premia-v2,2024-04-21,4061.75272
premia-v2,2024-04-22,4061.75272
premia-v2,2024-04-23,4061.75272
premia-v2,2024-04-24,4061.75272
premia-v2,2024-04-25,4061.75272
premia-v2,2024-04-26,4061.75272
premia-v2,2024-04-27,4061.75272
premia-v2,2024-04-28,4061.75272
premia-v2,2024-04-29,4061.75272
premia-v2,2024-04-30,4061.75272
premia-v2,2024-05-01,4061.75272
premia-v2,2024-05-02,4061.75272
premia-v2,2024-05-03,4061.75272
premia-v2,2024-05-04,4061.75272
premia-v2,2024-05-05,4061.75272
premia-v2,2024-05-06,4061.75272
premia-v2,2024-05-07,4061.75272
premia-v2,2024-05-08,4061.75272
premia-v2,2024-05-09,4061.75272
premia-v2,2024-05-10,4061.75272
premia-v2,2024-05-11,4061.75272
premia-v2,2024-05-12,4061.75272
premia-v2,2024-05-13,4061.75272
premia-v2,2024-05-14,4061.75272
premia-v2,2024-05-15,4061.75272
premia-v2,2024-05-16,4061.75272
premia-v2,2024-05-17,4061.75272
premia-v2,2024-05-18,4061.75272
premia-v2,2024-05-19,4061.75272
premia-v2,2024-05-20,4061.75272
premia-v2,2024-05-21,4061.75272
premia-v2,2024-05-22,4061.75272
