protocol,date,op_value
rubicon,2023-11-01,128784.45615
rubicon,2023-11-02,128620.41864
rubicon,2023-11-03,128620.41864
rubicon,2023-11-04,128620.41864
rubicon,2023-11-05,128544.90562
rubicon,2023-11-06,128246.54984
rubicon,2023-11-07,128222.5373
rubicon,2023-11-08,127580.34513
rubicon,2023-11-09,127572.28154
rubicon,2023-11-10,127523.61463
rubicon,2023-11-11,126705.64213
rubicon,2023-11-12,126649.34911
rubicon,2023-11-13,125939.35339
rubicon,2023-11-14,125876.19994
rubicon,2023-11-15,126034.07555
rubicon,2023-11-16,125966.65005
rubicon,2023-11-17,125550.63856
rubicon,2023-11-18,124266.17122
rubicon,2023-11-19,124224.14543
rubicon,2023-11-20,123315.25353
rubicon,2023-11-21,123297.27681
rubicon,2023-11-22,123232.40935
rubicon,2023-11-23,123225.92984
rubicon,2023-11-24,123024.87983
rubicon,2023-11-25,122989.54177
rubicon,2023-11-26,122586.32927
rubicon,2023-11-27,122463.32431
rubicon,2023-11-28,122445.52256
rubicon,2023-11-29,122206.3978
rubicon,2023-11-30,122185.1558
rubicon,2023-12-01,122060.2059
rubicon,2023-12-02,122039.39646
rubicon,2023-12-03,122026.87223
rubicon,2023-12-04,121977.90206
rubicon,2023-12-05,121932.86996
rubicon,2023-12-06,121932.86996
rubicon,2023-12-07,121909.98836
rubicon,2023-12-08,121866.32172
rubicon,2023-12-09,121597.54314
rubicon,2023-12-10,121369.38813
rubicon,2023-12-11,121356.38072
rubicon,2023-12-12,121320.26283
rubicon,2023-12-13,120113.60199
rubicon,2023-12-14,120077.47196
rubicon,2023-12-15,120041.58676
rubicon,2023-12-16,120010.54627
rubicon,2023-12-17,120004.54294
rubicon,2023-12-18,119987.80584
rubicon,2023-12-19,118626.19687
rubicon,2023-12-20,118557.30366
rubicon,2023-12-21,118514.2451
rubicon,2023-12-22,117866.45152
rubicon,2023-12-23,117217.54587
rubicon,2023-12-24,115972.73393
rubicon,2023-12-25,114775.45611
rubicon,2023-12-26,114714.0009
rubicon,2023-12-27,114685.25097
rubicon,2023-12-28,114513.39137
rubicon,2023-12-29,114328.95988
rubicon,2023-12-30,113304.3771
rubicon,2023-12-31,113203.14984
rubicon,2024-01-01,113047.09963
rubicon,2024-01-02,113030.36804
rubicon,2024-01-03,112978.33009
rubicon,2024-01-04,112819.65182
rubicon,2024-01-05,112782.77473
rubicon,2024-01-06,112765.56621
rubicon,2024-01-07,112707.77675
rubicon,2024-01-08,112703.2741
rubicon,2024-01-09,112688.97541
rubicon,2024-01-10,112552.05009
rubicon,2024-01-11,112125.87727
rubicon,2024-01-12,112031.81652
rubicon,2024-01-13,111937.24156
rubicon,2024-01-14,111889.26381
rubicon,2024-01-15,111854.95536
rubicon,2024-01-16,111841.61785
rubicon,2024-01-17,111828.853
rubicon,2024-01-18,111828.75294
rubicon,2024-01-19,111731.63067
rubicon,2024-01-20,111729.52948
rubicon,2024-01-21,111290.88513
rubicon,2024-01-22,111288.68574
rubicon,2024-01-23,111284.99367
rubicon,2024-01-24,110782.14692
rubicon,2024-01-25,110781.97716
rubicon,2024-01-26,110781.97716
rubicon,2024-01-27,110762.95642
rubicon,2024-01-28,110742.92348
rubicon,2024-01-29,110713.11397
rubicon,2024-01-30,110581.21675
rubicon,2024-01-31,110580.21621
rubicon,2024-02-01,107893.19955
rubicon,2024-02-02,106878.72405
rubicon,2024-02-03,106860.73596
rubicon,2024-02-04,105771.08985
rubicon,2024-02-05,105703.51762
rubicon,2024-02-06,105693.41355
rubicon,2024-02-07,105692.91828
rubicon,2024-02-08,105684.91223
rubicon,2024-02-09,105684.91223
rubicon,2024-02-10,105655.29194
rubicon,2024-02-11,105061.33179
rubicon,2024-02-12,105053.24065
rubicon,2024-02-13,104943.54223
rubicon,2024-02-14,104925.97015
rubicon,2024-02-15,104900.88795
rubicon,2024-02-16,104890.74874
rubicon,2024-02-17,104861.71504
rubicon,2024-02-18,104556.1734
rubicon,2024-02-19,104518.77127
rubicon,2024-02-20,104498.3764
rubicon,2024-02-21,104489.40548
rubicon,2024-02-22,104368.34668
rubicon,2024-02-23,104291.97061
rubicon,2024-02-24,104283.36569
rubicon,2024-02-25,104172.37626
rubicon,2024-02-26,104159.21814
rubicon,2024-02-27,104146.65443
rubicon,2024-02-28,104115.6914
rubicon,2024-02-29,104014.43125
rubicon,2024-03-01,103971.52245
rubicon,2024-03-02,103967.44613
rubicon,2024-03-03,103954.38988
rubicon,2024-03-04,103896.52843
rubicon,2024-03-05,103882.04454
rubicon,2024-03-06,103875.04247
rubicon,2024-03-07,103857.04298
rubicon,2024-03-08,103738.07543
rubicon,2024-03-09,103716.06193
rubicon,2024-03-10,103671.71286
rubicon,2024-03-11,103650.20434
rubicon,2024-03-12,103625.29323
rubicon,2024-03-13,103256.38673
rubicon,2024-03-14,103213.69505
rubicon,2024-03-15,103104.91014
rubicon,2024-03-16,102989.20751
rubicon,2024-03-17,102856.10227
rubicon,2024-03-18,102852.09992
rubicon,2024-03-19,102818.21133
rubicon,2024-03-20,102816.10094
rubicon,2024-03-21,102685.47897
rubicon,2024-03-22,102573.16144
rubicon,2024-03-23,102551.14732
rubicon,2024-03-24,102514.94404
rubicon,2024-03-25,102423.34906
rubicon,2024-03-26,101669.54587
rubicon,2024-03-27,101629.87013
rubicon,2024-03-28,101622.1009
rubicon,2024-03-29,101618.21187
rubicon,2024-03-30,101616.06099
rubicon,2024-03-31,101489.83026
rubicon,2024-04-01,101483.96798
rubicon,2024-04-02,101481.46651
rubicon,2024-04-03,101480.37691
rubicon,2024-04-04,101476.87482
rubicon,2024-04-05,101475.49233
rubicon,2024-04-06,101452.40565
rubicon,2024-04-07,101445.8584
rubicon,2024-04-08,101437.58534
rubicon,2024-04-09,101398.09961
rubicon,2024-04-10,101394.75245
rubicon,2024-04-11,101386.77004
rubicon,2024-04-12,101380.30092
rubicon,2024-04-13,101375.29808
rubicon,2024-04-14,101352.7756
rubicon,2024-04-15,101332.76548
rubicon,2024-04-16,101331.74384
rubicon,2024-04-17,101296.53959
rubicon,2024-04-18,101295.54904
rubicon,2024-04-19,101275.29029
rubicon,2024-04-20,101275.29029
rubicon,2024-04-21,101274.28972
rubicon,2024-04-22,101272.29861
rubicon,2024-04-23,100497.69502
rubicon,2024-04-24,100469.97156
rubicon,2024-04-25,100463.9681
rubicon,2024-04-26,100455.58492
rubicon,2024-04-27,100454.48429
rubicon,2024-04-28,100452.58316
rubicon,2024-04-29,100441.41879
