protocol,date,op_value
solidly-v3,2024-02-02,8333.37183
solidly-v3,2024-02-03,11053.48393
solidly-v3,2024-02-04,33433.16336
solidly-v3,2024-02-05,19473.49148
solidly-v3,2024-02-06,7806.74222
solidly-v3,2024-02-07,4259.80536
solidly-v3,2024-02-08,31258.72378
solidly-v3,2024-02-09,43680.28865
solidly-v3,2024-02-10,20487.30062
solidly-v3,2024-02-11,59387.37824
solidly-v3,2024-02-12,29724.48669
solidly-v3,2024-02-13,21131.36346
solidly-v3,2024-02-14,24327.60659
solidly-v3,2024-02-15,29571.02226
solidly-v3,2024-02-16,38297.06896
solidly-v3,2024-02-17,65054.66701
solidly-v3,2024-02-18,69609.91927
solidly-v3,2024-02-19,52607.10494
solidly-v3,2024-02-20,47410.2846
solidly-v3,2024-02-21,52434.02186
solidly-v3,2024-02-22,33813.86133
solidly-v3,2024-02-23,34353.17299
solidly-v3,2024-02-24,47061.63405
solidly-v3,2024-02-25,40067.15427
solidly-v3,2024-02-26,27945.80809
solidly-v3,2024-02-27,29214.20966
solidly-v3,2024-02-28,37631.49978
solidly-v3,2024-02-29,23334.67395
solidly-v3,2024-03-01,33950.99771
solidly-v3,2024-03-02,28441.75783
solidly-v3,2024-03-03,2404.65965
solidly-v3,2024-03-04,16297.20892
solidly-v3,2024-03-05,24424.68519
solidly-v3,2024-03-06,12187.06787
solidly-v3,2024-03-07,16398.95424
solidly-v3,2024-03-08,12866.64333
solidly-v3,2024-03-09,25536.07602
solidly-v3,2024-03-10,14718.8195
solidly-v3,2024-03-11,18691.60114
solidly-v3,2024-03-12,26870.20189
solidly-v3,2024-03-13,18728.08009
solidly-v3,2024-03-14,17454.00062
solidly-v3,2024-03-15,16486.80397
solidly-v3,2024-03-16,32123.74797
solidly-v3,2024-03-17,19948.94668
solidly-v3,2024-03-26,4001.88469
solidly-v3,2024-03-27,7751.89067
solidly-v3,2024-03-28,13753.20084
solidly-v3,2024-03-29,12455.65205
solidly-v3,2024-03-30,15090.39819
solidly-v3,2024-03-31,13322.10155
solidly-v3,2024-04-01,17745.22787
solidly-v3,2024-04-02,20442.03729
solidly-v3,2024-04-03,12577.44245
solidly-v3,2024-04-04,17615.81854
solidly-v3,2024-04-05,17205.36605
solidly-v3,2024-04-06,19834.02014
solidly-v3,2024-04-07,14327.54694
solidly-v3,2024-04-08,12196.7525
solidly-v3,2024-04-09,12196.26048
solidly-v3,2024-04-10,13527.61502
solidly-v3,2024-04-11,15474.78416
solidly-v3,2024-04-12,17030.77807
solidly-v3,2024-04-13,17034.89465
solidly-v3,2024-04-14,17034.89465
solidly-v3,2024-04-15,17034.89465
solidly-v3,2024-04-16,17045.14357
solidly-v3,2024-04-17,11732.46901
solidly-v3,2024-04-18,11273.658
solidly-v3,2024-04-19,11919.51558
solidly-v3,2024-04-20,11194.87656
solidly-v3,2024-04-21,8059.97318
solidly-v3,2024-04-22,7408.07954
solidly-v3,2024-04-23,8642.97237
solidly-v3,2024-04-24,9134.72918
solidly-v3,2024-04-25,9277.07792
solidly-v3,2024-04-26,7412.01008
solidly-v3,2024-04-27,7428.00124
solidly-v3,2024-04-28,7411.32577
solidly-v3,2024-04-29,7413.78922
solidly-v3,2024-04-30,7444.95479
solidly-v3,2024-05-01,7429.47315
solidly-v3,2024-05-02,7081.50739
solidly-v3,2024-05-06,6733.68691
solidly-v3,2024-05-07,1767.03085
solidly-v3,2024-05-08,1956.57476
solidly-v3,2024-05-09,2035.7951
solidly-v3,2024-05-10,2004.75209
solidly-v3,2024-05-11,2057.33452
solidly-v3,2024-05-12,2022.97158
solidly-v3,2024-05-13,2091.43302
solidly-v3,2024-05-14,2152.56993
solidly-v3,2024-05-15,2152.61781
solidly-v3,2024-05-16,2152.72568
solidly-v3,2024-05-17,2168.4346
solidly-v3,2024-05-18,2176.05093
solidly-v3,2024-05-19,2179.07032
solidly-v3,2024-05-20,2184.11438
solidly-v3,2024-05-21,2187.56299
solidly-v3,2024-05-22,2195.01106
solidly-v3,2024-05-23,2205.97188
solidly-v3,2024-05-24,2205.90773
solidly-v3,2024-05-25,2205.90773
solidly-v3,2024-05-26,2205.90773
solidly-v3,2024-05-27,2216.28363
solidly-v3,2024-05-28,2217.83181
solidly-v3,2024-05-29,2218.83227
solidly-v3,2024-05-30,2238.75694
solidly-v3,2024-05-31,6249.12311
solidly-v3,2024-06-01,6643.91219
solidly-v3,2024-06-02,6999.99137
solidly-v3,2024-06-03,7156.46093
solidly-v3,2024-06-04,8101.49877
solidly-v3,2024-06-05,6859.94545
solidly-v3,2024-06-06,8674.90038
solidly-v3,2024-06-07,6966.32078
solidly-v3,2024-06-08,11146.20156
solidly-v3,2024-06-09,10921.42059
solidly-v3,2024-06-10,9754.20462
solidly-v3,2024-06-11,10561.38128
solidly-v3,2024-06-12,11450.29166
solidly-v3,2024-06-13,10219.09058
solidly-v3,2024-06-14,11730.76403
solidly-v3,2024-06-15,10672.59752
solidly-v3,2024-06-16,9619.47987
solidly-v3,2024-06-17,10751.67021
solidly-v3,2024-06-18,11376.68774
solidly-v3,2024-06-19,11356.38378
solidly-v3,2024-06-20,9160.32673
solidly-v3,2024-06-21,11771.41771
solidly-v3,2024-06-22,12832.88666
solidly-v3,2024-06-23,16521.51044
solidly-v3,2024-06-24,18613.10971
solidly-v3,2024-06-25,8766.35098
solidly-v3,2024-06-26,9543.75137
solidly-v3,2024-06-27,8558.17028
solidly-v3,2024-06-28,7357.80063
solidly-v3,2024-06-29,7514.34189
solidly-v3,2024-06-30,7638.7212
solidly-v3,2024-07-01,7888.10273
solidly-v3,2024-07-02,8255.7953
solidly-v3,2024-07-03,6247.44119
solidly-v3,2024-07-04,6644.66573
solidly-v3,2024-07-08,2849.96046
solidly-v3,2024-07-09,2356.2767
solidly-v3,2024-07-10,2294.39753
solidly-v3,2024-07-11,2317.65896
solidly-v3,2024-07-12,2333.25873
solidly-v3,2024-07-13,4021.14191
solidly-v3,2024-07-14,4699.21325
solidly-v3,2024-07-15,3212.32029
solidly-v3,2024-07-16,5405.7481
solidly-v3,2024-07-17,6042.88255
solidly-v3,2024-07-18,3535.74306
solidly-v3,2024-07-19,3306.49717
solidly-v3,2024-07-20,987.16963
solidly-v3,2024-07-21,4233.22854
solidly-v3,2024-07-22,3378.76373
solidly-v3,2024-07-23,5509.115
solidly-v3,2024-07-24,6445.81973
solidly-v3,2024-07-25,7684.33313
solidly-v3,2024-07-26,6040.38058
solidly-v3,2024-07-27,6452.08691
solidly-v3,2024-07-28,5052.12765
solidly-v3,2024-07-29,8409.33017
solidly-v3,2024-07-30,8288.39906
solidly-v3,2024-07-31,5689.346
solidly-v3,2024-08-01,7656.26555
solidly-v3,2024-08-02,7090.34507
solidly-v3,2024-08-03,8736.08284
solidly-v3,2024-08-04,8783.03833
solidly-v3,2024-08-05,7374.37541
solidly-v3,2024-08-06,9289.10246
solidly-v3,2024-08-07,5535.22125
solidly-v3,2024-08-08,6081.19544
