protocol,date,op_value
superform,2024-01-26,0.71055
superform,2024-01-27,1.38574
superform,2024-01-28,1.38586
superform,2024-01-29,10.92644
superform,2024-01-30,10.92751
superform,2024-01-31,0.67536
superform,2024-02-01,58.9863
superform,2024-02-02,82.66907
superform,2024-02-03,693.73627
superform,2024-02-04,774.29193
superform,2024-02-05,850.28565
superform,2024-02-06,862.33774
superform,2024-02-07,921.41702
superform,2024-02-08,938.31363
superform,2024-02-09,1391.30632
superform,2024-02-10,1851.07936
superform,2024-02-11,2958.56337
superform,2024-02-12,4019.34676
superform,2024-02-13,3986.55092
superform,2024-02-14,4499.3314
superform,2024-02-15,4462.30857
superform,2024-02-16,5013.5558
superform,2024-02-17,5201.8107
superform,2024-02-18,5242.86466
superform,2024-02-19,5505.35376
superform,2024-02-20,6638.60151
superform,2024-02-21,7958.08745
superform,2024-02-22,9763.11899
superform,2024-02-23,10525.71279
superform,2024-02-24,13467.78805
superform,2024-02-25,15840.69012
superform,2024-02-26,16427.12177
superform,2024-02-27,19452.46378
superform,2024-02-28,19865.12324
superform,2024-02-29,20025.25811
superform,2024-03-01,21225.35916
superform,2024-03-02,21119.95434
superform,2024-03-03,22224.4502
superform,2024-03-04,22681.06751
superform,2024-03-05,24680.65098
superform,2024-03-06,23808.75194
superform,2024-03-07,24948.35211
superform,2024-03-08,25824.77863
superform,2024-03-09,26043.70313
superform,2024-03-10,26435.40355
superform,2024-03-11,27153.10192
superform,2024-03-12,27448.86513
superform,2024-03-13,28219.63323
superform,2024-03-14,27778.42239
superform,2024-03-15,28224.94583
superform,2024-03-16,28191.68586
superform,2024-03-17,28814.8363
superform,2024-03-18,32048.99019
superform,2024-03-19,32308.37092
superform,2024-03-20,32351.92399
superform,2024-03-21,32737.09766
superform,2024-03-22,33009.2567
superform,2024-03-23,33692.66064
superform,2024-03-24,35155.95435
superform,2024-03-25,35377.71492
superform,2024-03-26,35426.40718
superform,2024-03-27,35093.02518
superform,2024-03-28,35627.56179
superform,2024-03-29,35580.68673
superform,2024-03-30,36779.31251
superform,2024-03-31,36488.21412
superform,2024-04-01,37054.79713
superform,2024-04-02,37088.96823
superform,2024-04-03,37602.70253
superform,2024-04-04,37806.72463
superform,2024-04-05,37774.6908
superform,2024-04-06,38010.57628
superform,2024-04-07,38450.65063
superform,2024-04-08,40891.68148
superform,2024-04-09,41428.9376
superform,2024-04-10,44793.53172
superform,2024-04-11,48290.32921
superform,2024-04-12,48987.92814
superform,2024-04-13,49405.0957
superform,2024-04-14,53800.62406
superform,2024-04-15,55860.40591
superform,2024-04-16,59271.67266
superform,2024-04-17,68042.29951
superform,2024-04-18,72199.75446
superform,2024-04-19,73391.00955
superform,2024-04-20,73048.86297
superform,2024-04-21,73070.32852
superform,2024-04-22,74256.13924
superform,2024-04-23,73936.85884
superform,2024-04-24,74446.68187
superform,2024-04-25,74859.87844
superform,2024-04-26,72589.6301
superform,2024-04-27,72928.06444
superform,2024-04-28,72096.91356
superform,2024-04-29,72280.49868
superform,2024-04-30,72278.86228
superform,2024-05-01,72311.8453
superform,2024-05-02,75634.59258
superform,2024-05-03,81142.35397
superform,2024-05-04,81102.72246
superform,2024-05-05,82119.54209
superform,2024-05-06,82072.95672
superform,2024-05-07,84324.61976
superform,2024-05-08,84959.85544
superform,2024-05-09,85198.60288
superform,2024-05-10,94544.98042
superform,2024-05-11,109716.87058
superform,2024-05-12,120544.3427
superform,2024-05-13,120268.99781
superform,2024-05-14,129833.59844
superform,2024-05-15,130442.50055
superform,2024-05-16,130701.59948
superform,2024-05-17,132108.80986
superform,2024-05-18,132610.75669
superform,2024-05-19,134159.44389
superform,2024-05-20,136114.03797
superform,2024-05-21,137411.30017
superform,2024-05-22,138736.04061
superform,2024-05-23,139869.13833
superform,2024-05-24,141582.34717
superform,2024-05-25,142893.14352
superform,2024-05-26,143537.0697
superform,2024-05-27,144134.07269
superform,2024-05-28,144475.89797
superform,2024-05-29,144776.54952
superform,2024-05-30,147261.81075
superform,2024-05-31,147199.18628
superform,2024-06-01,147557.31088
superform,2024-06-02,147328.4945
superform,2024-06-03,151970.40798
superform,2024-06-04,152409.26603
superform,2024-06-05,152673.15501
superform,2024-06-06,154666.32783
superform,2024-06-07,157144.18913
superform,2024-06-08,159936.37855
superform,2024-06-09,163397.99652
superform,2024-06-10,166365.09245
superform,2024-06-11,169325.05102
superform,2024-06-12,170725.78449
superform,2024-06-13,172286.2984
superform,2024-06-14,180102.62904
superform,2024-06-15,182492.16737
superform,2024-06-16,184512.61482
superform,2024-06-17,188634.85094
superform,2024-06-18,190583.29252
superform,2024-06-19,192628.54504
superform,2024-06-20,197413.8659
superform,2024-06-21,198193.87427
superform,2024-06-22,199141.61913
superform,2024-06-23,201485.24482
superform,2024-06-24,204522.50553
superform,2024-06-25,206840.94977
superform,2024-06-26,209052.10149
superform,2024-06-27,213424.0177
superform,2024-06-28,216310.24027
superform,2024-06-29,218183.88537
superform,2024-06-30,219367.76674
superform,2024-07-01,221257.79229
superform,2024-07-02,222385.62818
superform,2024-07-03,223825.36406
superform,2024-07-04,226765.96128
superform,2024-07-05,228183.50079
superform,2024-07-06,235563.76941
superform,2024-07-07,244902.004
superform,2024-07-08,246117.37169
superform,2024-07-09,268775.73514
superform,2024-07-10,270987.13877
superform,2024-07-11,275256.33394
superform,2024-07-12,278976.0008
superform,2024-07-13,280271.40187
superform,2024-07-14,289061.15829
superform,2024-07-15,289814.3955
superform,2024-07-16,290976.13165
superform,2024-07-17,292992.91147
superform,2024-07-18,300248.43266
superform,2024-07-19,300460.86843
superform,2024-07-20,301886.90303
superform,2024-07-21,303202.24299
superform,2024-07-22,304704.02767
superform,2024-07-23,304816.63654
superform,2024-07-24,305343.16172
superform,2024-07-25,306019.34339
superform,2024-07-26,312804.55219
superform,2024-07-27,320777.60144
superform,2024-07-28,327618.7163
superform,2024-07-29,324988.78297
superform,2024-07-30,328118.64993
superform,2024-07-31,335539.26604
superform,2024-08-01,338617.6558
superform,2024-08-02,348336.89317
superform,2024-08-03,351157.41028
superform,2024-08-04,349972.21324
superform,2024-08-05,346894.06093
superform,2024-08-06,349508.54121
superform,2024-08-07,367117.27616
superform,2024-08-08,368596.23915
superform,2024-08-09,371943.11068
superform,2024-08-10,372876.13301
superform,2024-08-11,376282.4744
superform,2024-08-12,380938.05436
superform,2024-08-13,387630.90696
superform,2024-08-14,389198.43467
superform,2024-08-15,390375.6144
superform,2024-08-16,394892.10183
superform,2024-08-17,396714.54845
superform,2024-08-18,396035.52567
superform,2024-08-19,397111.24011
superform,2024-08-20,397926.22826
superform,2024-08-21,402640.03343
superform,2024-08-22,406901.56804
superform,2024-08-23,407345.90955
superform,2024-08-24,408365.93882
superform,2024-08-25,408912.50324
superform,2024-08-26,410608.42854
superform,2024-08-27,410464.543
superform,2024-08-28,411006.02343
superform,2024-08-29,411503.78588
superform,2024-08-30,412836.35429
superform,2024-08-31,413159.85321
superform,2024-09-01,418323.23722
superform,2024-09-02,428504.52978
superform,2024-09-03,426322.43416
superform,2024-09-04,426285.85128
superform,2024-09-05,427468.00243
superform,2024-09-06,428245.20687
superform,2024-09-07,431274.81706
superform,2024-09-08,432693.93457
superform,2024-09-09,432677.42486
superform,2024-09-10,503537.17678
superform,2024-09-11,503932.87555
superform,2024-09-12,496767.34091
superform,2024-09-13,496390.56764
superform,2024-09-14,496720.27667
superform,2024-09-15,496664.00705
superform,2024-09-16,497073.44708
superform,2024-09-17,498469.21452
superform,2024-09-18,498419.36129
superform,2024-09-19,501406.13274
superform,2024-09-20,499974.28239
superform,2024-09-21,501464.76176
superform,2024-09-22,502637.64056
superform,2024-09-23,503199.52539
superform,2024-09-24,503232.90093
superform,2024-09-25,503689.86407
superform,2024-09-26,505274.55006
superform,2024-09-27,508599.99901
superform,2024-09-28,506725.22034
superform,2024-09-29,508868.6689
superform,2024-09-30,507690.47496
superform,2024-10-01,507926.32638
superform,2024-10-02,508512.12541
superform,2024-10-03,509681.78279
superform,2024-10-04,507615.65595
superform,2024-10-05,505994.10755
superform,2024-10-06,505865.28597
superform,2024-10-07,504251.10947
superform,2024-10-08,505157.24015
superform,2024-10-09,505468.52404
superform,2024-10-10,522014.46551
superform,2024-10-11,560664.27911
superform,2024-10-12,574305.19911
superform,2024-10-13,582553.75454
superform,2024-10-14,587163.69225
superform,2024-10-15,595344.22785
superform,2024-10-16,598905.26343
superform,2024-10-17,598204.81106
superform,2024-10-18,603915.97838
superform,2024-10-19,603479.61409
superform,2024-10-20,603072.3069
superform,2024-10-21,606320.6598
superform,2024-10-22,606313.88631
superform,2024-10-23,613107.18617
superform,2024-10-24,614135.26075
superform,2024-10-25,614983.88008
superform,2024-10-26,614523.51889
superform,2024-10-27,615123.40966
superform,2024-10-28,611819.60628
superform,2024-10-29,612748.84891
superform,2024-10-30,614862.94653
superform,2024-10-31,616531.00343
superform,2024-11-01,616354.69749
superform,2024-11-02,616446.0071
superform,2024-11-03,616873.32021
superform,2024-11-04,617628.92649
superform,2024-11-05,617233.49645
superform,2024-11-06,618487.57182
superform,2024-11-07,616562.77454
superform,2024-11-08,603971.5048
superform,2024-11-09,590253.64877
superform,2024-11-10,583918.7343
superform,2024-11-11,563792.81454
superform,2024-11-12,547387.8885
superform,2024-11-13,548267.71148
superform,2024-11-14,537469.71432
superform,2024-11-15,534194.07876
superform,2024-11-16,532755.68319
superform,2024-11-17,525388.37993
superform,2024-11-18,497557.40045
superform,2024-11-19,494632.09614
superform,2024-11-20,486115.06667
superform,2024-11-21,482101.99862
superform,2024-11-22,465843.40092
superform,2024-11-23,451633.2704
superform,2024-11-24,444824.51523
superform,2024-11-25,441343.06591
superform,2024-11-26,433031.87239
superform,2024-11-27,430828.79978
superform,2024-11-28,428737.13699
superform,2024-11-29,420621.34948
superform,2024-11-30,417481.41342
superform,2024-12-01,415248.59749
superform,2024-12-02,414677.21773
