protocol,date,op_value
superswap,2024-11-18,4801.88567
superswap,2024-11-19,4484.13945
superswap,2024-11-20,7543.14631
superswap,2024-11-21,8244.38219
superswap,2024-11-22,6842.786779999999
superswap,2024-11-23,12244.35352
superswap,2024-11-24,22431.41846
superswap,2024-11-25,30026.573389999998
superswap,2024-11-26,31600.02596
superswap,2024-11-27,32187.0475
superswap,2024-11-28,9762.393600000001
superswap,2024-11-29,9717.802539999999
superswap,2024-11-30,9153.9226
superswap,2024-12-01,140.94334
superswap,2024-12-02,519.874935
