protocol,date,op_value
synonym-finance,2024-02-07,71541.63247
synonym-finance,2024-02-08,81345.15129
synonym-finance,2024-02-09,67403.67812
synonym-finance,2024-02-10,76608.36754
synonym-finance,2024-02-11,80132.77934
synonym-finance,2024-02-12,95682.46289
synonym-finance,2024-02-13,97899.88171
synonym-finance,2024-02-14,110429.09103
synonym-finance,2024-02-15,121990.19635
synonym-finance,2024-02-16,142325.04225
synonym-finance,2024-02-17,155455.474
synonym-finance,2024-02-18,166298.54964
synonym-finance,2024-02-19,168763.9444
synonym-finance,2024-02-20,185156.98646
synonym-finance,2024-02-21,181130.60808
synonym-finance,2024-02-22,186735.59187
synonym-finance,2024-02-23,182129.6227
synonym-finance,2024-02-24,177846.83202
synonym-finance,2024-02-25,178290.65176
synonym-finance,2024-02-26,177162.56124
synonym-finance,2024-02-27,175766.67491
synonym-finance,2024-02-28,175827.88841
synonym-finance,2024-02-29,172238.065
synonym-finance,2024-03-01,184937.79477
synonym-finance,2024-03-02,184886.95649
synonym-finance,2024-03-03,174068.7553
synonym-finance,2024-03-04,168735.06808
synonym-finance,2024-03-05,167035.16443
synonym-finance,2024-03-06,169901.34859
synonym-finance,2024-03-07,165817.28041
synonym-finance,2024-03-08,165017.27196
synonym-finance,2024-03-09,165017.27196
synonym-finance,2024-03-10,165017.27196
synonym-finance,2024-03-11,164038.63058
synonym-finance,2024-03-12,141963.44134
synonym-finance,2024-03-13,137543.9727
synonym-finance,2024-03-14,137543.9727
synonym-finance,2024-03-15,136432.2163
synonym-finance,2024-03-16,136334.33261
synonym-finance,2024-03-17,136254.31092
synonym-finance,2024-03-18,136253.86586
synonym-finance,2024-03-19,135523.38384
synonym-finance,2024-03-20,135523.38384
synonym-finance,2024-03-21,135623.38384
synonym-finance,2024-03-22,135433.37887
synonym-finance,2024-03-23,136894.37554
synonym-finance,2024-03-24,131279.60739
synonym-finance,2024-03-25,133287.30941
synonym-finance,2024-03-26,131405.35076
synonym-finance,2024-03-27,117571.12367
synonym-finance,2024-03-28,117571.12367
synonym-finance,2024-03-29,117571.12367
synonym-finance,2024-03-30,117598.42367
synonym-finance,2024-03-31,117598.42367
synonym-finance,2024-04-01,124894.58825
synonym-finance,2024-04-02,124234.69504
synonym-finance,2024-04-03,113044.10284
synonym-finance,2024-04-04,110044.10284
synonym-finance,2024-04-05,109694.09939
synonym-finance,2024-04-06,105760.5446
synonym-finance,2024-04-07,105760.5446
synonym-finance,2024-04-08,110962.16034
