protocol,date,op_value
tarot,2023-11-01,36405.27321
tarot,2023-11-02,35898.56168
tarot,2023-11-03,35661.02219
tarot,2023-11-04,35568.8784
tarot,2023-11-05,34744.12479
tarot,2023-11-06,35930.55631
tarot,2023-11-07,35179.454
tarot,2023-11-08,37833.93023
tarot,2023-11-09,36602.57167
tarot,2023-11-10,35273.28074
tarot,2023-11-11,32423.21059
tarot,2023-11-12,32612.77182
tarot,2023-11-13,32050.76493
tarot,2023-11-14,33323.07414
tarot,2023-11-15,30713.17544
tarot,2023-11-16,30336.1586
tarot,2023-11-17,30872.40428
tarot,2023-11-18,31377.52228
tarot,2023-11-19,31421.79619
tarot,2023-11-20,31370.26947
tarot,2023-11-21,31276.53781
tarot,2023-11-22,31579.26658
tarot,2023-11-23,29604.38006
tarot,2023-11-24,28498.56676
tarot,2023-11-25,28714.21752
tarot,2023-11-26,27095.12955
tarot,2023-11-27,26897.52648
tarot,2023-11-28,25789.70971
tarot,2023-11-29,26721.70435
tarot,2023-11-30,26373.26828
tarot,2023-12-01,26429.87332
tarot,2023-12-02,26473.45166
tarot,2023-12-03,26385.78554
tarot,2023-12-04,26511.46415
tarot,2023-12-05,26602.80737
tarot,2023-12-06,27799.05028
tarot,2023-12-07,28431.54916
tarot,2023-12-08,26706.23041
tarot,2023-12-09,26571.98712
tarot,2023-12-10,26969.03871
tarot,2023-12-11,28729.21265
tarot,2023-12-12,28894.45965
tarot,2023-12-13,28604.62127
tarot,2023-12-14,28260.81794
tarot,2023-12-15,28132.88624
tarot,2023-12-16,28137.88986
tarot,2023-12-17,27254.33694
tarot,2023-12-18,26559.70463
tarot,2023-12-19,26009.75569
tarot,2023-12-20,26161.90748
tarot,2023-12-21,26381.291
tarot,2023-12-22,23448.20217
tarot,2023-12-23,21103.93662
tarot,2023-12-24,19373.68567
tarot,2023-12-25,18066.03535
tarot,2023-12-26,18156.27039
tarot,2023-12-27,18171.23523
tarot,2023-12-28,28331.72958
tarot,2023-12-29,394007.88429
tarot,2023-12-30,639420.56583
tarot,2023-12-31,1009885.80888
tarot,2024-01-01,990118.78173
tarot,2024-01-03,1028026.40348
tarot,2024-01-04,903839.86572
tarot,2024-01-05,921949.95471
tarot,2024-01-06,956570.63386
tarot,2024-01-07,972989.22462
tarot,2024-01-08,1012064.44406
tarot,2024-01-09,980100.33052
tarot,2024-01-10,962483.87028
tarot,2024-01-11,944663.95708
tarot,2024-01-12,966165.48896
tarot,2024-01-13,957338.45373
tarot,2024-01-14,983412.49288
tarot,2024-01-15,1000922.71412
tarot,2024-01-18,1107956.48841
tarot,2024-01-19,1111375.02728
tarot,2024-01-20,1112005.27886
tarot,2024-01-21,1158206.73827
tarot,2024-01-22,1171413.36856
tarot,2024-01-23,1175621.76247
tarot,2024-01-24,1189281.76644
tarot,2024-01-25,1185860.59846
tarot,2024-01-26,1199364.54126
tarot,2024-01-27,1281107.10732
tarot,2024-01-28,1282874.15854
tarot,2024-01-29,1273081.24485
tarot,2024-01-30,1231314.70846
tarot,2024-01-31,1197533.35245
tarot,2024-02-01,1234447.37554
tarot,2024-02-02,1202902.57179
tarot,2024-02-03,1195851.9117
tarot,2024-02-04,1201286.96135
tarot,2024-02-05,1191283.03643
tarot,2024-02-06,1155955.49873
tarot,2024-02-07,1132441.49116
tarot,2024-02-08,1115049.3486
tarot,2024-02-09,737231.14458
tarot,2024-02-10,779205.72735
tarot,2024-02-11,809760.72005
tarot,2024-02-12,811080.33613
tarot,2024-02-13,811967.26436
tarot,2024-02-14,896227.33472
tarot,2024-02-15,1339104.50068
tarot,2024-02-16,1278602.23578
tarot,2024-02-17,1280999.84334
tarot,2024-02-18,1289537.92698
tarot,2024-02-19,1292800.20947
tarot,2024-02-20,1296622.6374
tarot,2024-02-21,1275422.54678
tarot,2024-02-22,1242640.76399
tarot,2024-02-23,1282169.55578
tarot,2024-02-24,1289449.61279
tarot,2024-02-25,1276177.82076
tarot,2024-02-26,1282579.72858
tarot,2024-02-27,1292279.91158
tarot,2024-02-28,1301578.89923
tarot,2024-02-29,1281141.2029
tarot,2024-03-01,1213297.35507
tarot,2024-03-02,1223876.45323
tarot,2024-03-03,1212830.89584
tarot,2024-03-04,1245194.42991
tarot,2024-03-05,1249359.80063
tarot,2024-03-06,1193383.12639
tarot,2024-03-07,1301324.53612
tarot,2024-03-08,1274055.16172
tarot,2024-03-09,1293358.68859
tarot,2024-03-10,1288493.3221
tarot,2024-03-11,1315466.40813
tarot,2024-03-12,1254769.29291
tarot,2024-03-13,1268657.91036
tarot,2024-03-14,1268640.40701
tarot,2024-03-15,1376874.47389
tarot,2024-03-16,1376327.83511
tarot,2024-03-17,1391031.70328
tarot,2024-03-18,1385688.02351
tarot,2024-03-19,1408498.92084
tarot,2024-03-20,1359338.05148
tarot,2024-03-21,1351413.88954
tarot,2024-03-22,1359218.16232
tarot,2024-03-23,1386455.81938
tarot,2024-03-24,1391215.93937
tarot,2024-03-25,1361137.72079
tarot,2024-03-26,1362278.16914
tarot,2024-03-27,1330614.84292
tarot,2024-03-28,1341950.48464
tarot,2024-03-29,1342317.53941
tarot,2024-03-30,1326854.58743
tarot,2024-03-31,1344555.40434
tarot,2024-04-01,1334924.27575
tarot,2024-04-02,1338524.11243
tarot,2024-04-03,1358819.45051
tarot,2024-04-04,1363002.86501
tarot,2024-04-05,1301440.20809
tarot,2024-04-06,1335804.18769
tarot,2024-04-07,1320718.11114
tarot,2024-04-08,1312930.02908
tarot,2024-04-09,1293811.33797
tarot,2024-04-10,1299136.73302
tarot,2024-04-11,1304164.66861
tarot,2024-04-12,1295925.76599
tarot,2024-04-13,1355233.59589
tarot,2024-04-14,1397768.76389
tarot,2024-04-15,1327763.21509
tarot,2024-04-16,1251944.29694
tarot,2024-04-17,1372696.16669
tarot,2024-04-18,1392442.78142
tarot,2024-04-19,1393719.37718
tarot,2024-04-20,1363501.87884
tarot,2024-04-21,1343553.7225
tarot,2024-04-22,1355878.45985
tarot,2024-04-23,1341800.11909
tarot,2024-04-24,1373964.83089
tarot,2024-04-25,1350108.68621
tarot,2024-04-26,1340064.22065
tarot,2024-04-27,1371667.6057
tarot,2024-04-28,1337361.13164
tarot,2024-04-29,1330960.0786
tarot,2024-04-30,1326131.66457
tarot,2024-05-01,1311308.25798
tarot,2024-05-02,1307267.15576
tarot,2024-05-03,1284029.26743
tarot,2024-05-04,1261325.67208
tarot,2024-05-05,1296376.02484
tarot,2024-05-06,1335473.23363
tarot,2024-05-07,1339186.18393
tarot,2024-05-08,1331298.80617
tarot,2024-05-09,1324751.21567
tarot,2024-05-10,1311842.60243
tarot,2024-05-11,1352782.74435
tarot,2024-05-12,1355370.51152
tarot,2024-05-13,1366289.10071
tarot,2024-05-14,1378316.36941
tarot,2024-05-15,1360167.75004
tarot,2024-05-16,1340177.51468
tarot,2024-05-17,1357638.99055
tarot,2024-05-18,1337871.55175
tarot,2024-05-19,1384337.56343
tarot,2024-05-20,1412193.64293
tarot,2024-05-21,1346106.92623
tarot,2024-05-22,1366156.30981
tarot,2024-05-23,1387252.43538
tarot,2024-05-24,1374697.33709
tarot,2024-05-25,1389494.46916
tarot,2024-05-26,1384514.00424
tarot,2024-05-27,1392346.73741
tarot,2024-05-28,1393765.93753
tarot,2024-05-29,1398823.03715
tarot,2024-05-30,1402767.2507
tarot,2024-05-31,1361036.70722
tarot,2024-06-01,1379770.37043
tarot,2024-06-02,1372201.02248
tarot,2024-06-03,1406333.17871
tarot,2024-06-04,1386579.70083
tarot,2024-06-05,1412889.85999
tarot,2024-06-06,1396361.28328
tarot,2024-06-07,1416878.2916
tarot,2024-06-08,1447235.73172
tarot,2024-06-09,1435995.82195
tarot,2024-06-10,1438841.8641
tarot,2024-06-11,1557248.81541
tarot,2024-06-12,1514467.42911
tarot,2024-06-13,1494162.83924
tarot,2024-06-14,1418890.37544
tarot,2024-06-15,1133570.80443
tarot,2024-06-16,578860.90829
tarot,2024-06-17,592810.09796
tarot,2024-06-18,487284.70767
tarot,2024-06-19,425667.75127
tarot,2024-06-20,334146.32113
tarot,2024-06-21,372655.16767
tarot,2024-06-22,361654.83072
tarot,2024-06-23,336393.60794
tarot,2024-06-24,326811.31988
tarot,2024-06-25,322657.51376
tarot,2024-06-26,314667.76743
tarot,2024-06-27,307230.48992
tarot,2024-06-28,278635.41145
