protocol,date,op_value
timeswap-v2,2023-12-12,81903.08981
timeswap-v2,2023-12-13,120773.42191
timeswap-v2,2023-12-14,140442.21644
timeswap-v2,2023-12-15,152183.07421
timeswap-v2,2023-12-16,199667.24144
timeswap-v2,2023-12-17,200088.74959
timeswap-v2,2023-12-18,202990.66451
timeswap-v2,2023-12-19,211585.29705
timeswap-v2,2023-12-20,234158.59098
timeswap-v2,2023-12-21,233633.33365
timeswap-v2,2023-12-22,251374.10486
timeswap-v2,2023-12-23,198219.57252
timeswap-v2,2023-12-24,196873.32085
timeswap-v2,2023-12-25,182750.13685
timeswap-v2,2023-12-26,180255.91446
timeswap-v2,2023-12-27,238526.02503
timeswap-v2,2023-12-28,229768.30847
timeswap-v2,2023-12-29,229091.53249
timeswap-v2,2023-12-30,229020.4668
timeswap-v2,2023-12-31,229126.91932
timeswap-v2,2024-01-01,228626.91932
timeswap-v2,2024-01-02,227537.20535
timeswap-v2,2024-01-03,220188.96111
timeswap-v2,2024-01-04,221662.85402
timeswap-v2,2024-01-05,222657.75438
timeswap-v2,2024-01-06,225001.99059
timeswap-v2,2024-01-07,231950.49966
timeswap-v2,2024-01-08,234091.40332
timeswap-v2,2024-01-09,232591.078
timeswap-v2,2024-01-10,231991.18715
timeswap-v2,2024-01-11,230764.75857
timeswap-v2,2024-01-12,227935.29334
timeswap-v2,2024-01-13,192154.69363
timeswap-v2,2024-01-14,192154.69363
timeswap-v2,2024-01-15,185040.0656
timeswap-v2,2024-01-16,185040.0656
timeswap-v2,2024-01-17,210774.12236
timeswap-v2,2024-01-18,210874.12515
timeswap-v2,2024-01-19,212892.40619
timeswap-v2,2024-01-20,227281.6361
timeswap-v2,2024-01-21,227339.95798
timeswap-v2,2024-01-22,248823.10957
timeswap-v2,2024-01-23,251906.10553
timeswap-v2,2024-01-24,251530.3929
timeswap-v2,2024-01-25,251512.93329
timeswap-v2,2024-01-26,240482.36617
timeswap-v2,2024-01-27,237881.80622
timeswap-v2,2024-01-28,239562.77594
timeswap-v2,2024-01-29,246939.26992
timeswap-v2,2024-01-30,246951.85955
timeswap-v2,2024-01-31,245103.89433
timeswap-v2,2024-02-01,244668.80771
timeswap-v2,2024-02-02,245011.21397
timeswap-v2,2024-02-03,243013.70615
timeswap-v2,2024-02-04,243371.70615
timeswap-v2,2024-02-05,244424.7146
timeswap-v2,2024-02-06,244432.6642
timeswap-v2,2024-02-07,234333.73864
timeswap-v2,2024-02-08,232033.49263
timeswap-v2,2024-02-09,232033.62396
timeswap-v2,2024-02-10,202984.41326
timeswap-v2,2024-02-11,200232.20283
timeswap-v2,2024-02-12,197590.91696
timeswap-v2,2024-02-13,190689.37199
timeswap-v2,2024-02-14,166083.02579
timeswap-v2,2024-02-15,149434.75465
timeswap-v2,2024-02-16,137911.67269
timeswap-v2,2024-02-17,134380.21796
timeswap-v2,2024-02-18,113840.24336
timeswap-v2,2024-02-19,81642.37064
timeswap-v2,2024-02-20,124855.18697
timeswap-v2,2024-02-21,121595.11954
timeswap-v2,2024-02-22,123079.49763
timeswap-v2,2024-02-23,127341.44228
timeswap-v2,2024-02-24,132672.18925
timeswap-v2,2024-02-25,137787.90204
timeswap-v2,2024-02-26,137366.62046
timeswap-v2,2024-02-27,137570.07507
timeswap-v2,2024-02-28,141736.51892
timeswap-v2,2024-02-29,141445.90099
timeswap-v2,2024-03-01,141263.32371
timeswap-v2,2024-03-02,148267.09797
timeswap-v2,2024-03-03,167044.84116
timeswap-v2,2024-03-04,180525.78959
timeswap-v2,2024-03-05,181271.56664
timeswap-v2,2024-03-06,163290.18814
timeswap-v2,2024-03-07,158251.89639
timeswap-v2,2024-03-08,158515.04342
timeswap-v2,2024-03-09,158767.60976
timeswap-v2,2024-03-10,158773.6155
timeswap-v2,2024-03-11,158575.86872
timeswap-v2,2024-03-12,158145.05423
timeswap-v2,2024-03-13,148194.65059
timeswap-v2,2024-03-14,151106.28289
timeswap-v2,2024-03-15,151477.03716
timeswap-v2,2024-03-16,156319.69305
timeswap-v2,2024-03-17,137464.72649
timeswap-v2,2024-03-18,135268.20841
timeswap-v2,2024-03-19,127132.17768
timeswap-v2,2024-03-20,103388.21359
timeswap-v2,2024-03-21,26540.54876
timeswap-v2,2024-03-22,10389.56384
timeswap-v2,2024-03-23,9377.88051
timeswap-v2,2024-03-24,6681.04956
timeswap-v2,2024-03-25,6055.3092
timeswap-v2,2024-03-26,5675.81582
timeswap-v2,2024-03-27,5490.53502
timeswap-v2,2024-03-28,4485.49465
timeswap-v2,2024-03-29,32951.54933
timeswap-v2,2024-03-30,65128.57129
timeswap-v2,2024-03-31,77499.32191
timeswap-v2,2024-04-01,87118.12002
timeswap-v2,2024-04-02,100115.86726
timeswap-v2,2024-04-03,100852.01337
timeswap-v2,2024-04-04,104052.01346
timeswap-v2,2024-04-05,104505.08939
timeswap-v2,2024-04-06,105016.5974
timeswap-v2,2024-04-07,106189.73628
timeswap-v2,2024-04-08,105987.36216
timeswap-v2,2024-04-09,107697.14447
timeswap-v2,2024-04-10,108139.92689
timeswap-v2,2024-04-11,107628.39862
timeswap-v2,2024-04-12,101630.41161
timeswap-v2,2024-04-13,109375.87442
timeswap-v2,2024-04-14,109752.25647
timeswap-v2,2024-04-15,109763.03816
timeswap-v2,2024-04-16,110647.5644
timeswap-v2,2024-04-17,110516.14005
timeswap-v2,2024-04-18,111172.20791
timeswap-v2,2024-04-19,110421.46501
timeswap-v2,2024-04-20,110450.27948
timeswap-v2,2024-04-21,110396.27948
timeswap-v2,2024-04-22,109053.99128
timeswap-v2,2024-04-23,109081.9185
timeswap-v2,2024-04-24,109081.9185
timeswap-v2,2024-04-25,102050.79844
timeswap-v2,2024-04-26,100896.82593
timeswap-v2,2024-04-27,101142.99744
timeswap-v2,2024-04-28,99897.18779
timeswap-v2,2024-04-29,91237.98929
timeswap-v2,2024-04-30,100227.49067
timeswap-v2,2024-05-01,58658.11018
timeswap-v2,2024-05-02,26126.27641
timeswap-v2,2024-05-03,11918.94987
timeswap-v2,2024-05-04,8963.9132
timeswap-v2,2024-05-05,8349.52579
timeswap-v2,2024-05-06,8170.49908
timeswap-v2,2024-05-07,8171.31043
timeswap-v2,2024-05-08,6606.59225
timeswap-v2,2024-05-09,6594.72236
timeswap-v2,2024-05-10,6894.30675
timeswap-v2,2024-05-11,6435.42134
timeswap-v2,2024-05-12,7446.08748
timeswap-v2,2024-05-13,7444.82258
timeswap-v2,2024-05-14,7444.82258
timeswap-v2,2024-05-15,7509.97227
timeswap-v2,2024-05-16,9569.8089
timeswap-v2,2024-05-17,9670.6851
timeswap-v2,2024-05-18,9688.3478
timeswap-v2,2024-05-19,9688.3478
timeswap-v2,2024-05-20,9688.3478
timeswap-v2,2024-05-21,9266.7795
timeswap-v2,2024-05-22,5266.7795
timeswap-v2,2024-05-23,4913.08858
timeswap-v2,2024-05-24,4913.08858
timeswap-v2,2024-05-25,4913.08858
timeswap-v2,2024-05-26,4913.08858
timeswap-v2,2024-05-27,5282.48411
timeswap-v2,2024-05-28,5282.48411
timeswap-v2,2024-05-29,8268.33426
timeswap-v2,2024-05-30,12646.93469
timeswap-v2,2024-05-31,12646.83469
timeswap-v2,2024-06-01,14218.41598
timeswap-v2,2024-06-02,50233.48596
timeswap-v2,2024-06-03,49124.52926
timeswap-v2,2024-06-04,51116.21989
timeswap-v2,2024-06-05,51469.87568
timeswap-v2,2024-06-06,59476.55151
timeswap-v2,2024-06-07,43769.58351
timeswap-v2,2024-06-08,57987.8048
timeswap-v2,2024-06-09,61080.33472
timeswap-v2,2024-06-10,64684.3326
timeswap-v2,2024-06-11,41684.3326
timeswap-v2,2024-06-12,37040.30768
timeswap-v2,2024-06-13,39003.45549
timeswap-v2,2024-06-14,42593.4596
timeswap-v2,2024-06-15,48068.23534
timeswap-v2,2024-06-16,49076.87051
timeswap-v2,2024-06-17,49076.87051
timeswap-v2,2024-06-18,49076.87051
timeswap-v2,2024-06-19,42553.50407
timeswap-v2,2024-06-20,42555.60995
timeswap-v2,2024-06-21,42847.00694
timeswap-v2,2024-06-22,42847.00694
timeswap-v2,2024-06-23,42794.95349
timeswap-v2,2024-06-24,42794.95349
timeswap-v2,2024-06-25,42794.95349
timeswap-v2,2024-06-26,42794.95349
