protocol,date,op_value
velodrome,2023-11-01,7532824.6233399995
velodrome,2023-11-02,7371705.768870001
velodrome,2023-11-03,7518178.830429999
velodrome,2023-11-04,7349112.225570001
velodrome,2023-11-05,7085446.23778
velodrome,2023-11-06,7044170.36292
velodrome,2023-11-07,7004588.65769
velodrome,2023-11-08,6972235.20277
velodrome,2023-11-09,7160788.42621
velodrome,2023-11-10,7599620.986900001
velodrome,2023-11-11,8537611.98055
velodrome,2023-11-12,8607121.38989
velodrome,2023-11-13,8127723.67261
velodrome,2023-11-14,8308904.13229
velodrome,2023-11-15,8344621.21014
velodrome,2023-11-16,7905880.09471
velodrome,2023-11-17,7558960.955440001
velodrome,2023-11-18,7960601.868100001
velodrome,2023-11-19,7900687.58327
velodrome,2023-11-20,7715137.548830001
velodrome,2023-11-21,7864655.00956
velodrome,2023-11-22,8063975.920469999
velodrome,2023-11-23,7725436.957579999
velodrome,2023-11-24,7962068.59272
velodrome,2023-11-25,8851674.01962
velodrome,2023-11-26,8802955.81629
velodrome,2023-11-27,8260886.12368
velodrome,2023-11-28,8362474.94475
velodrome,2023-11-29,8395255.76072
velodrome,2023-11-30,7993182.1333099995
velodrome,2023-12-01,7828428.041990001
velodrome,2023-12-02,7885810.27779
velodrome,2023-12-03,7751359.95549
velodrome,2023-12-04,7721315.51295
velodrome,2023-12-05,7803970.99988
velodrome,2023-12-06,7698098.61269
velodrome,2023-12-07,7929436.5086
velodrome,2023-12-08,7132086.48443
velodrome,2023-12-09,7344146.86038
velodrome,2023-12-10,7401140.24261
velodrome,2023-12-11,7243302.072310001
velodrome,2023-12-12,7044676.66456
velodrome,2023-12-13,6532514.7387
velodrome,2023-12-14,6876746.32938
velodrome,2023-12-15,6804366.008
velodrome,2023-12-16,6913878.52
velodrome,2023-12-17,6835085.00015
velodrome,2023-12-18,6908082.65774
velodrome,2023-12-19,6698974.5405
velodrome,2023-12-20,6778246.60228
velodrome,2023-12-21,6610479.46306
velodrome,2023-12-22,6289941.32716
velodrome,2023-12-23,5652834.04854
velodrome,2023-12-24,5601901.53472
velodrome,2023-12-25,5355793.99556
velodrome,2023-12-26,5332848.2969700005
velodrome,2023-12-27,5387493.36226
velodrome,2023-12-28,5033937.72059
velodrome,2023-12-29,5558547.0121100005
velodrome,2023-12-30,5404758.19582
velodrome,2023-12-31,5629032.20854
velodrome,2024-01-01,5734466.706990001
velodrome,2024-01-02,5516815.3120099995
velodrome,2024-01-03,5655144.79388
velodrome,2024-01-04,5565400.81125
velodrome,2024-01-05,5526939.862939999
velodrome,2024-01-06,5731540.03596
velodrome,2024-01-07,5918012.135530001
velodrome,2024-01-08,6051183.54753
velodrome,2024-01-09,5889302.99869
velodrome,2024-01-10,5761903.948369999
velodrome,2024-01-11,5565529.56942
velodrome,2024-01-12,5622271.67341
velodrome,2024-01-13,5454953.870639999
velodrome,2024-01-14,5640533.473560001
velodrome,2024-01-15,5810965.89778
velodrome,2024-01-16,5840350.006899999
velodrome,2024-01-17,5738517.649270001
velodrome,2024-01-18,5804711.54414
velodrome,2024-01-19,5972609.60418
velodrome,2024-01-20,5936043.94409
velodrome,2024-01-21,5964919.22846
velodrome,2024-01-22,5936736.013300001
velodrome,2024-01-23,5941937.69943
velodrome,2024-01-24,6004052.35713
velodrome,2024-01-25,5903687.14896
velodrome,2024-01-26,6116578.648349999
velodrome,2024-01-27,5987765.2699299995
velodrome,2024-01-28,6011584.73288
velodrome,2024-01-29,6085361.36694
velodrome,2024-01-30,6034497.93175
velodrome,2024-01-31,5825754.30944
velodrome,2024-02-01,6025722.9029399995
velodrome,2024-02-02,5955754.943419999
velodrome,2024-02-03,5934128.29195
velodrome,2024-02-04,5961386.551589999
velodrome,2024-02-05,5913502.3693699995
velodrome,2024-02-06,5911258.52219
velodrome,2024-02-07,5737007.2152700005
velodrome,2024-02-08,5570049.517530001
velodrome,2024-02-09,5577128.1237
velodrome,2024-02-10,5472815.6887300005
velodrome,2024-02-11,5614161.46041
velodrome,2024-02-12,5497546.75904
velodrome,2024-02-13,5401320.98228
velodrome,2024-02-14,4824675.64671
velodrome,2024-02-15,4875765.61873
velodrome,2024-02-16,4808391.81166
velodrome,2024-02-17,4956692.51965
velodrome,2024-02-18,5028355.51305
velodrome,2024-02-19,4936611.86744
velodrome,2024-02-20,4837492.27577
velodrome,2024-02-21,4824997.03091
velodrome,2024-02-22,4978055.07531
velodrome,2024-02-23,4860428.2549
velodrome,2024-02-24,4972242.53873
velodrome,2024-02-25,4937045.72641
velodrome,2024-02-26,4859352.21243
velodrome,2024-02-27,4872446.94231
velodrome,2024-02-28,5404602.913600001
velodrome,2024-02-29,5040925.839969999
velodrome,2024-03-01,5107008.488390001
velodrome,2024-03-02,5080321.45877
velodrome,2024-03-03,4856048.18603
velodrome,2024-03-04,4937917.2519499995
velodrome,2024-03-05,4954713.599769999
velodrome,2024-03-06,4572917.823860001
velodrome,2024-03-07,4479177.743679999
velodrome,2024-03-08,4371595.17239
velodrome,2024-03-09,4457121.41134
velodrome,2024-03-10,4399188.050410001
velodrome,2024-03-11,4446693.565510001
velodrome,2024-03-12,4737291.98635
velodrome,2024-03-13,4866849.1113100005
velodrome,2024-03-14,4856427.157280001
velodrome,2024-03-15,4505773.881370001
velodrome,2024-03-16,4653007.518
velodrome,2024-03-17,4723089.8309
velodrome,2024-03-18,4817871.096779999
velodrome,2024-03-19,4617031.16164
velodrome,2024-03-20,4384794.45333
velodrome,2024-03-21,4443939.70259
velodrome,2024-03-22,4480026.07254
velodrome,2024-03-23,4686825.84182
velodrome,2024-03-24,4785359.394459999
velodrome,2024-03-25,4660787.08596
velodrome,2024-03-26,4756545.236210001
velodrome,2024-03-27,4689341.034460001
velodrome,2024-03-28,4983041.70142
velodrome,2024-03-29,5682429.181640001
velodrome,2024-03-30,5470753.0804200005
