protocol,date,op_value
vesper,2023-11-01,235834.3439
vesper,2023-11-02,235811.59804
vesper,2023-11-03,144296.80651
vesper,2023-11-04,144296.80651
vesper,2023-11-05,108920.56038
vesper,2023-11-06,109294.40842
vesper,2023-11-07,98159.82084
vesper,2023-11-08,97164.96111
vesper,2023-11-09,99296.545
vesper,2023-11-10,98692.98559
vesper,2023-11-11,98570.85408
vesper,2023-11-12,98571.2157
vesper,2023-11-13,100765.55804
vesper,2023-11-14,100615.95691
vesper,2023-11-15,101163.05432
vesper,2023-11-16,100534.12584
vesper,2023-11-17,100602.92324
vesper,2023-11-18,99740.92756
vesper,2023-11-19,100932.54564
vesper,2023-11-20,100383.63144
vesper,2023-11-21,110346.47311
vesper,2023-11-22,207935.74304
vesper,2023-11-23,207814.91629
vesper,2023-11-24,207818.30627
vesper,2023-11-25,207753.80055
vesper,2023-11-26,207865.13479
vesper,2023-11-27,206753.17079
vesper,2023-11-28,206764.38086
vesper,2023-11-29,206717.89529
vesper,2023-11-30,206726.50289
vesper,2023-12-01,206730.17412
vesper,2023-12-02,206471.15369
vesper,2023-12-03,206473.8133
vesper,2023-12-04,207110.00896
vesper,2023-12-05,205241.53848
vesper,2023-12-06,204830.90519
vesper,2023-12-07,204841.93069
vesper,2023-12-08,181118.70405
vesper,2023-12-09,180813.93646
vesper,2023-12-10,180815.97336
vesper,2023-12-11,181558.15386
vesper,2023-12-12,190161.00215
vesper,2023-12-13,191843.98726
vesper,2023-12-14,193840.30392
vesper,2023-12-15,193846.99849
vesper,2023-12-16,193922.83957
vesper,2023-12-17,194640.11293
vesper,2023-12-18,193849.5863
vesper,2023-12-19,193862.64264
vesper,2023-12-20,193484.91598
vesper,2023-12-21,192957.65668
vesper,2023-12-22,192964.49111
vesper,2023-12-23,191419.4247
vesper,2023-12-24,189559.66732
vesper,2023-12-25,189026.07987
vesper,2023-12-26,188897.16499
vesper,2023-12-27,187457.72185
vesper,2023-12-28,187087.18901
vesper,2023-12-29,283723.18087
vesper,2023-12-30,256470.87637
vesper,2023-12-31,256442.18631
vesper,2024-01-01,256396.56215
vesper,2024-01-02,256868.56125
vesper,2024-01-03,256626.23463
vesper,2024-01-04,256629.3765
vesper,2024-01-05,256604.40147
vesper,2024-01-06,256604.40147
vesper,2024-01-07,256604.40147
vesper,2024-01-08,256604.40747
vesper,2024-01-09,245762.76335
vesper,2024-01-10,245801.2492
vesper,2024-01-11,271395.67775
vesper,2024-01-12,270763.42359
vesper,2024-01-13,268464.67053
vesper,2024-01-14,269585.02783
vesper,2024-01-15,270037.76156
vesper,2024-01-16,270054.91884
vesper,2024-01-17,269548.3036
vesper,2024-01-18,269622.9473
vesper,2024-01-19,269112.41882
vesper,2024-01-20,269743.51611
vesper,2024-01-21,275721.2461
vesper,2024-01-22,285491.0389
vesper,2024-01-23,285726.00962
vesper,2024-01-24,287119.11755
vesper,2024-01-25,286208.42792
vesper,2024-01-26,286893.90935
vesper,2024-01-27,321290.46577
vesper,2024-01-28,321299.66861
vesper,2024-01-29,321320.01106
vesper,2024-01-30,321220.14533
vesper,2024-01-31,320849.73492
vesper,2024-02-01,320922.25646
vesper,2024-02-02,320929.31918
vesper,2024-02-03,319634.0235
vesper,2024-02-04,322640.32433
vesper,2024-02-05,321972.21197
vesper,2024-02-06,321988.51443
vesper,2024-02-07,319007.6312
vesper,2024-02-08,319030.60932
vesper,2024-02-09,319033.27389
vesper,2024-02-10,319079.62087
vesper,2024-02-11,319093.88953
vesper,2024-02-12,318332.68829
vesper,2024-02-13,318349.63891
vesper,2024-02-14,318303.21384
vesper,2024-02-15,314885.40384
vesper,2024-02-16,314685.40384
vesper,2024-02-17,314685.40384
vesper,2024-02-18,314685.40384
vesper,2024-02-19,314037.09119
vesper,2024-02-20,314115.31822
vesper,2024-02-21,323577.81369
vesper,2024-02-22,322623.44327
vesper,2024-02-23,322641.48997
vesper,2024-02-24,329323.12867
vesper,2024-02-25,330379.54562
vesper,2024-02-26,330411.53119
vesper,2024-02-27,330367.0816
vesper,2024-02-28,330388.60157
vesper,2024-02-29,330407.08587
vesper,2024-03-01,330553.18726
vesper,2024-03-02,330570.1347
vesper,2024-03-03,330571.73367
vesper,2024-03-04,330592.16367
vesper,2024-03-05,333590.56701
vesper,2024-03-06,333734.39413
vesper,2024-03-07,333299.60387
vesper,2024-03-08,338015.73626
vesper,2024-03-09,338226.12625
vesper,2024-03-10,338543.58786
vesper,2024-03-11,336287.04064
vesper,2024-03-12,336291.96984
vesper,2024-03-13,336306.1078
vesper,2024-03-14,336320.42773
vesper,2024-03-15,335274.12553
vesper,2024-03-16,349332.80053
vesper,2024-03-17,349344.0827
vesper,2024-03-18,349306.03106
vesper,2024-03-19,349305.62916
vesper,2024-03-20,349333.80337
vesper,2024-03-21,349351.79255
vesper,2024-03-22,352607.10851
vesper,2024-03-23,349626.95843
vesper,2024-03-24,349644.50953
vesper,2024-03-25,347989.6286
vesper,2024-03-26,347996.79841
vesper,2024-03-27,345026.70816
vesper,2024-03-28,345048.68913
vesper,2024-03-29,336571.58159
vesper,2024-03-30,335845.11257
vesper,2024-03-31,329948.30362
vesper,2024-04-01,329973.37714
vesper,2024-04-02,329993.45557
vesper,2024-04-03,330361.61051
vesper,2024-04-04,330265.00574
vesper,2024-04-05,330294.89057
vesper,2024-04-06,330976.96791
vesper,2024-04-07,330818.35094
vesper,2024-04-08,330745.48409
vesper,2024-04-09,327538.89628
vesper,2024-04-10,327541.61347
vesper,2024-04-11,327591.64665
vesper,2024-04-12,326272.67989
vesper,2024-04-13,325260.91634
vesper,2024-04-14,324678.97853
vesper,2024-04-15,324715.54061
vesper,2024-04-16,324744.43961
vesper,2024-04-17,325267.91734
vesper,2024-04-18,325300.35022
vesper,2024-04-19,325332.00305
