protocol,date,op_value
yearn-finance,2023-11-01,993232.53795
yearn-finance,2023-11-02,947738.16055
yearn-finance,2023-11-03,947738.16055
yearn-finance,2023-11-04,944434.41405
yearn-finance,2023-11-05,941449.90431
yearn-finance,2023-11-06,936482.77637
yearn-finance,2023-11-07,935417.73265
yearn-finance,2023-11-08,904283.71955
yearn-finance,2023-11-09,906794.56215
yearn-finance,2023-11-10,898250.06332
yearn-finance,2023-11-11,910972.94023
yearn-finance,2023-11-12,900657.97475
yearn-finance,2023-11-13,907403.89772
yearn-finance,2023-11-14,919521.74348
yearn-finance,2023-11-15,938093.15546
yearn-finance,2023-11-16,937316.67851
yearn-finance,2023-11-17,956774.6149
yearn-finance,2023-11-18,958924.52413
yearn-finance,2023-11-19,952701.75277
yearn-finance,2023-11-20,948845.23357
yearn-finance,2023-11-21,931234.95102
yearn-finance,2023-11-22,938050.98839
yearn-finance,2023-11-23,935241.08957
yearn-finance,2023-11-24,927103.91653
yearn-finance,2023-11-25,929248.57264
yearn-finance,2023-11-26,914333.33941
yearn-finance,2023-11-27,920665.16368
yearn-finance,2023-11-28,924427.34925
yearn-finance,2023-11-29,925626.03082
yearn-finance,2023-11-30,925640.69411
yearn-finance,2023-12-01,927713.34412
yearn-finance,2023-12-02,928299.49688
yearn-finance,2023-12-03,919988.41411
yearn-finance,2023-12-04,907947.3627
yearn-finance,2023-12-05,921951.80155
yearn-finance,2023-12-06,883279.37235
yearn-finance,2023-12-07,882603.54254
yearn-finance,2023-12-08,841903.14483
yearn-finance,2023-12-09,867034.89335
yearn-finance,2023-12-10,835279.57535
yearn-finance,2023-12-11,811845.83622
yearn-finance,2023-12-12,813560.47828
yearn-finance,2023-12-13,814614.61767
yearn-finance,2023-12-14,878370.76008
yearn-finance,2023-12-15,877711.41143
yearn-finance,2023-12-16,885556.6749
yearn-finance,2023-12-17,883138.33712
yearn-finance,2023-12-18,883546.19525
yearn-finance,2023-12-19,880498.12037
yearn-finance,2023-12-20,880880.72388
yearn-finance,2023-12-21,866926.54123
yearn-finance,2023-12-22,860542.73113
yearn-finance,2023-12-23,845552.59432
yearn-finance,2023-12-24,843705.19312
yearn-finance,2023-12-25,839528.52303
yearn-finance,2023-12-26,837789.58213
yearn-finance,2023-12-27,835810.43478
yearn-finance,2023-12-28,808233.32984
yearn-finance,2023-12-29,810772.86013
yearn-finance,2023-12-30,804940.74577
yearn-finance,2023-12-31,795255.12601
yearn-finance,2024-01-01,794060.34956
yearn-finance,2024-01-02,789217.98015
yearn-finance,2024-01-03,787987.54152
yearn-finance,2024-01-04,778537.6156
yearn-finance,2024-01-05,786598.23468
yearn-finance,2024-01-06,792468.32211
yearn-finance,2024-01-07,789935.37043
yearn-finance,2024-01-08,794002.17646
yearn-finance,2024-01-09,792051.78678
yearn-finance,2024-01-10,788465.73244
yearn-finance,2024-01-11,777760.82796
yearn-finance,2024-01-12,767921.3601
yearn-finance,2024-01-13,773781.14966
yearn-finance,2024-01-14,776294.90373
yearn-finance,2024-01-15,779846.88505
yearn-finance,2024-01-16,780249.63952
yearn-finance,2024-01-17,779660.1274
yearn-finance,2024-01-18,780620.39965
yearn-finance,2024-01-19,783284.21704
yearn-finance,2024-01-20,785738.29489
yearn-finance,2024-01-21,787391.43005
yearn-finance,2024-01-22,787522.54262
yearn-finance,2024-01-23,783166.24878
yearn-finance,2024-01-24,786366.30775
yearn-finance,2024-01-25,785014.35162
yearn-finance,2024-01-26,783488.58695
yearn-finance,2024-01-27,779693.00794
yearn-finance,2024-01-28,778512.55921
yearn-finance,2024-01-29,779123.24982
yearn-finance,2024-01-30,776674.81705
yearn-finance,2024-01-31,767066.39678
