Date,Votable Supply,Total Volume (USD),30 Day Avg Total Volume (USD),VPI
04-12-2023,82765569.72,85299899.37,85299899.37,0.970289184
05-12-2023,82498452.48,300142894.4,192721396.9,0.428071059
06-12-2023,82944352.75,184422499.4,189955097.7,0.436652418
07-12-2023,82127363.78,179265311.5,187282651.2,0.438520938
08-12-2023,82158482.04,495374856.6,248901092.3,0.330084859
09-12-2023,82051659.44,407814016.4,275386579.6,0.297950828
10-12-2023,82000609.04,328366403.5,282955125.9,0.289800755
11-12-2023,81792099.12,281098065.3,282722993.3,0.289301193
12-12-2023,81534903.35,615704583.3,319720947.8,0.255018959
13-12-2023,81700583.44,417148362.8,329463689.3,0.24798054
14-12-2023,81731496.13,343688495.7,330756853.5,0.247104467
15-12-2023,81707088.7,274711667.2,326086421.3,0.250568817
16-12-2023,81642104.65,201569090.5,316508165.1,0.257946283
17-12-2023,81603284.22,218001772.2,309471994.2,0.263685522
18-12-2023,81058572.53,183727928.5,301089056.4,0.26921793
19-12-2023,80957551.86,265075305.5,298838197,0.270907644
20-12-2023,80819116.73,157441873.1,290520766.2,0.278187056
21-12-2023,80727780.38,179340699.5,284344095.8,0.283908763
22-12-2023,76850174.41,298798856.2,285104872.7,0.269550547
23-12-2023,76503915,956164122.5,318657835.2,0.240081701
24-12-2023,76171580.22,795298017.8,341354986.7,0.223144771
25-12-2023,76105787.19,738912967.4,359425804,0.211742692
26-12-2023,76063269.96,353036511.1,359148008.7,0.211788088
27-12-2023,75251500.63,499620680.4,365001036.7,0.206167909
28-12-2023,75047182.04,1012536760,390902465.6,0.191984417
29-12-2023,74973578.22,628487310.8,400040344.3,0.187415043
30-12-2023,74927314.27,666546128.4,409910928.9,0.182789257
31-12-2023,74905236.67,341150281.6,407455191.5,0.183836746
01-01-2024,74779230.47,369670191.4,406152260.4,0.184116248
02-01-2024,74244867.78,442599653.9,407367173.5,0.182255402
03-01-2024,73764045.53,408726865.1,418148072.4,0.176406518
04-01-2024,73792060.55,776005195,434010149.1,0.170023813
05-01-2024,73800200.2,508808138.5,444823003.7,0.165909136
06-01-2024,73760674.07,383435022.8,451628660.8,0.163321508
07-01-2024,73837490.38,267008421.5,444016446.3,0.166294494
08-01-2024,73918490.82,253004807.8,438856139.3,0.168434446
09-01-2024,73805710.74,369271478.3,440219641.8,0.16765656
10-01-2024,73861336.12,440235641.5,445524227.7,0.165785229
11-01-2024,73690653.49,792848827.9,451429035.8,0.163238621
12-01-2024,73449269.83,584644801,457012250.4,0.160716195
13-01-2024,73344587.06,770198417.5,471229247.8,0.155645235
14-01-2024,73244324.19,281893086.4,471468628.5,0.155353548
15-01-2024,72737503.78,221983644.2,472149113.6,0.154056212
16-01-2024,72712126.07,264520516.3,473699738.4,0.153498345
17-01-2024,72639280.18,226745989,475133673.7,0.152881777
18-01-2024,89035209.01,209585143.6,473284001.7,0.188122161
19-01-2024,88970519.92,225654475.3,475557755.1,0.187086677
20-01-2024,88872382.18,267725721.3,478503922.5,0.185729684
21-01-2024,88793799.87,140915670.6,473241149.6,0.187629077
