Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,1.719741023023491,1566711259.9871566,85299899.36987086,911015809.3645452
2023-12-05,1.7903264703678303,1624740171.9567668,300142894.44064754,907510556.7885376
2023-12-06,1.8007781540662335,1639854802.31827,184422499.4217389,910636770.3403156
2023-12-07,1.7128268433625522,1562406905.6809568,179265311.49820742,912180301.0826844
2023-12-08,2.178049629910284,1987128667.479036,495374856.58064574,912343153.338011
2023-12-09,2.1198484792508667,1933052495.2000484,407814016.3837326,911882388.8220396
2023-12-10,2.0339322661035184,1851124679.8547184,328366403.46978533,910121104.1806169
2023-12-11,2.16964297927006,1976943511.4206583,281098065.30948406,911183789.3650908
2023-12-12,2.28819960765443,2080978479.3752067,615704583.294973,909439225.6750538
2023-12-13,2.3380797376457627,2128487644.063314,417148362.82511264,910357166.0932792
2023-12-14,2.2368579934819035,2038693808.9758945,343688495.65266687,911409582.0640156
2023-12-15,2.2587425754803774,2057789645.570104,274711667.1801566,911033274.8442856
2023-12-16,2.093693816422702,1915107491.8580503,201569090.51355004,914702750.1519848
2023-12-17,2.1805348958919177,1984904093.0736148,218001772.19887105,910283113.0165046
2023-12-18,2.084722368339565,1899487008.744763,183727928.5330336,911146269.446738
2023-12-19,2.2316177238786223,2033245000.288593,265075305.54700252,911108107.1514117
2023-12-20,2.109474118763926,1920015899.0060904,157441873.0568593,910186990.1732422
2023-12-21,2.2422266324902207,2041322571.6194744,179340699.5045152,910399752.65675
2023-12-22,2.5182307515751674,2296314393.2698693,298798856.23543,911876082.7749848
2023-12-23,3.509716392048506,3196372845.3565955,956164122.4984646,910721120.5435828
2023-12-24,3.4186337300498253,3118135631.1382804,795298017.833353,912099943.2404344
2023-12-25,3.5887207661588367,3276724227.4374056,738912967.4192251,913061907.2780704
2023-12-26,3.3820667194649614,3083586233.6033106,353036511.1113942,911746127.2588762
2023-12-27,3.4803812262098472,3167152850.798712,499620680.3646671,910001705.2579488
2023-12-28,3.960804642610444,3609538581.772885,1012536759.9644908,911314469.5250484
2023-12-29,3.5944575448722262,3287938004.100916,628487310.785376,914724395.2822356
2023-12-30,3.9083658710889897,3556754347.223412,666546128.3537341,910036179.9629552
2023-12-31,3.615758367051002,3303744181.699875,341150281.5898911,913707124.8470608
2024-01-01,3.700179942782965,3380456156.698571,369670191.4170991,913592368.2014436
2024-01-02,3.993807919548209,3636462550.341648,442599653.9351774,910525148.8291442
2024-01-03,3.717379789838658,3379890815.411885,408726865.1130608,909213211.050082
2024-01-04,3.4646784328882267,3156891259.4458804,776005195.0008086,911164288.5756158
2024-01-05,3.712274166570632,3377226769.6426253,508808138.5472068,909746052.7174584
2024-01-06,3.417755666802777,3108401731.6527653,383435022.7914994,909486234.4447798
2024-01-07,3.234773639327002,2945309644.181408,267008421.51004368,910514914.6677796
2024-01-08,3.174226995196059,2889208974.7473016,253004807.84460285,910208683.6007288
2024-01-09,3.4161122384584703,3273951572.564336,369271478.3393064,958385247.330666
2024-01-10,3.594739289602071,3434855682.4517007,440235641.4694877,955522892.1293848
2024-01-11,3.950375015023487,3790686758.921655,792848827.8867671,959576431.2262686
2024-01-12,3.979139221946188,3816069798.4622655,584644801.0411973,959018919.824533
2024-01-13,3.930769871135453,3756713503.013506,770198417.4948236,955719522.172976
2024-01-14,3.817680148648468,3659058068.601576,281893086.4107285,958450662.7400289
2024-01-15,3.46954483862303,3338436029.274961,221983644.24564365,962211524.725502
2024-01-16,3.4513042575030237,3306457156.0047703,264520516.33849147,958031199.0218308
2024-01-17,3.604545329004076,3450408625.3788185,226745989.0386108,957238239.6234576
2024-01-18,3.449307555367459,3301911796.3474555,209585143.64345503,957268014.9119666
2024-01-19,3.211256296208186,3076034088.091433,225654475.32323292,957891181.6299366
2024-01-20,3.1977003233062304,3063571977.692686,267725721.2791552,958054748.0838156
2024-01-21,3.1793784331946062,3046400202.3266883,140915670.5513039,958174771.0560195
2024-01-22,3.1176816992069054,2988847177.2327065,108265717.3004454,958676178.5184894
2024-01-23,2.970372737508566,2842428616.189148,234601109.51275116,956926577.023888
2024-01-24,2.815335671034256,2689575083.224036,357696816.3422672,955330162.1884328
2024-01-25,2.861549356984241,2741642672.7995853,173504818.29206648,958097286.0412152
2024-01-26,2.933386388511147,2805936685.768825,186607691.82846507,956552023.5447028
2024-01-27,3.069792969898206,2930745786.2448545,237751574.4484904,954704703.2106656
2024-01-28,3.068764187045631,2939078604.372712,111974386.59675775,957740127.6968856
2024-01-29,3.028863015816947,2901399792.2434654,156098028.28313255,957917138.2436712
2024-01-30,3.163397651148537,3030624356.346315,172931688.8342619,958028262.8224066
2024-01-31,3.158656193116669,3016455206.1972795,264325167.02586344,954980542.9190824
2024-02-01,2.9002735389373413,2778466379.069302,220193330.61491,958001492.5376076
2024-02-02,2.972406152671561,2845199894.5230927,146103532.66251042,957204281.10602
2024-02-03,3.0095385871490152,2881117301.929188,109833726.36044884,957328579.9463753
2024-02-04,2.95769773099079,2828551852.463228,73995885.88802107,956335673.7998036
2024-02-05,2.9978996003513902,2869742013.801637,96230858.86842416,957250874.40062
2024-02-06,3.091170264326908,2958100344.1639323,143331424.8168722,956951604.4785224
2024-02-07,3.322344610361957,3179805936.5896425,383376021.472464,957096962.9918116
2024-02-08,3.3658724812457868,3225337502.9931207,300938511.57742584,958247087.7801492
2024-02-09,3.3066296275239417,3168601575.0382857,204352421.55510265,958257177.8415312
2024-02-10,3.464895395305001,3329668978.315411,226034336.98221627,960972438.8295172
2024-02-11,3.362656386880853,3215422949.577301,122014851.24146225,956215140.5424676
2024-02-12,3.5271825209942897,3376259793.4985995,187759053.53083748,957211534.5329092
2024-02-13,3.82730333464383,3661959709.1537614,281265895.726122,956798923.1495144
2024-02-14,3.7391618282329104,3578332300.85602,236660687.57947525,956987813.1075976
2024-02-15,3.815791961733856,3653112158.786761,207404323.21711704,957366700.1297486
2024-02-16,3.867377284314918,3703703845.929812,268849595.365152,957678440.3608814
2024-02-17,3.650673860967277,3497847132.9750543,192828642.4429989,958137392.2151104
2024-02-18,3.576965203960134,3427537498.4215465,137405649.2447865,958225004.4330448
2024-02-19,3.777753000542788,3615565952.172361,144608645.98632938,957067852.6766772
2024-02-20,3.951157091009105,3782011166.923769,268272912.35417,957190787.359422
2024-02-21,4.063307963884089,3893978657.128937,553162531.0219451,958327227.8989922
2024-02-22,3.771731314700136,3617691493.4454513,346661732.3697598,959159386.3925774
2024-02-23,3.644267334108627,3487454495.375835,264779927.5733796,956969995.7889758
2024-02-24,3.5194263504015604,3372675597.81852,197306772.67869684,958302649.9286462
2024-02-25,3.665097899573506,3509361769.3371515,162529126.57049653,957508330.0627584
2024-02-26,3.864923818635104,3695718955.77388,182083786.96255445,956220388.6023868
2024-02-27,3.829616076003597,3665009639.251272,229370959.6285884,957017509.4616532
2024-02-28,3.703246521610601,3543952059.299941,245256593.65957904,956985185.4633268
2024-02-29,3.77472985372043,3617469005.416004,373039884.4709486,958338515.7617496
2024-03-01,3.699411376892469,3729969455.288959,388363655.5511624,1008260254.2089168
2024-03-02,3.754071996866996,3777214359.151961,197339256.82164764,1006164602.6779132
2024-03-03,3.980137615343582,4002243570.443033,283654314.615463,1005554068.0337864
2024-03-04,3.99000731192888,4012014135.755181,517236115.990248,1005515484.5858318
2024-03-05,3.914492496540473,3935185419.477479,329602995.77402025,1005286233.9001272
2024-03-06,4.502744021893343,4517632259.722861,1247390307.1234462,1003306481.0606884
2024-03-07,4.559656437160743,4584003288.712655,747093712.5068039,1005339624.133408
2024-03-08,4.684497089969083,4713518127.83474,472766638.9961066,1006195123.4696674
2024-03-09,4.4892290100501775,4515365249.050152,407398705.81844574,1005821988.350664
2024-03-10,4.693959002431478,4718775969.712783,296324890.2619611,1005287001.2857908
2024-03-11,4.543398939742882,4572103703.646564,352177442.1551921,1006317905.2256649
